# Temperature (K)	C55 dvov (10^-5)
0.5781	-16.324290163238597
0.5783	-16.325955958915788
0.5785	-16.326129705382606
0.579	-16.32863135006231
0.5792	-16.331558458450523
0.5794	-16.33380724692322
0.5798	-16.335868144836855
0.5801	-16.33801412211686
0.5803	-16.337935721502287
0.5808	-16.336150647815007
0.581	-16.334107003931127
0.5815	-16.330397255228252
0.5817	-16.326183961645384
0.5821	-16.323672792516394
0.5824	-16.322101313889803
0.5828	-16.32228544589528
0.583	-16.325523884900733
0.5833	-16.326175299274365
0.5837	-16.32623878074286
0.5839	-16.32729166938084
0.5842	-16.32754848416615
0.5846	-16.32529540239262
0.5849	-16.322712548956925
0.5853	-16.319889316804698
0.5856	-16.319177019257367
0.5858	-16.319782051361546
0.5863	-16.320337624749833
0.5865	-16.319739576535707
0.5867	-16.32161206670656
0.5872	-16.3248430738771
0.5874	-16.329693541924552
0.5876	-16.333808008379197
0.5881	-16.3370079235991
0.5884	-16.340071402188553
0.5889	-16.344768229078866
0.5891	-16.347573405054103
0.5896	-16.34789906168533
0.5898	-16.346638262791867
0.5901	-16.346238427618562
0.5906	-16.34603109274112
0.5908	-16.345689446072626
0.5911	-16.3448016567173
0.5915	-16.346514583734397
0.5918	-16.35032594681093
0.5925	-16.353777294635922
0.5927	-16.355239297105804
0.5932	-16.35689101683168
0.5934	-16.35693575966889
0.5936	-16.357782754379567
0.5941	-16.35703119200295
0.5944	-16.354450952050893
0.5949	-16.35300782008062
0.5952	-16.35230695268436
0.5954	-16.351698922929835
0.596	-16.353585233273872
0.5962	-16.355318815341846
0.5965	-16.35688791422779
0.597	-16.357807303213566
0.5972	-16.3569037854706
0.5975	-16.357030925868614
0.598	-16.356295078598592
0.5982	-16.355329956657098
0.5987	-16.354406588072926
0.5989	-16.354018808282305
0.5992	-16.355961005982394
0.5996	-16.358816555351975
0.5999	-16.36068533256531
0.6002	-16.362567994907007
0.6007	-16.363569845370904
0.6009	-16.36453574818201
0.6014	-16.364362553268442
0.6017	-16.362761842441063
0.6022	-16.361527414154885
0.6025	-16.36146818217961
0.6027	-16.361163513160825
0.6032	-16.36019934248935
0.6035	-16.360548370165155
0.6037	-16.362076912143664
0.6042	-16.364344206057588
0.6045	-16.365058181513728
0.605	-16.364063116326733
0.6052	-16.363216537922725
0.6058	-16.361971296852744
0.606	-16.359878057113466
0.6062	-16.35796015557925
0.6068	-16.356521380861828
0.607	-16.355443208707296
0.6073	-16.352253387831407
0.6078	-16.35126774797477
0.608	-16.352654813670007
0.6086	-16.35253784264131
0.6088	-16.35042327155423
0.6091	-16.34849161535059
0.6096	-16.346685504644757
0.6099	-16.345802490798786
0.6104	-16.34644046787313
0.6107	-16.345870225446635
0.6109	-16.34458083733052
0.6114	-16.344490775729483
0.6117	-16.345002796593683
0.6119	-16.3446531409567
0.6124	-16.347401104880372
0.6127	-16.347456548803436
0.6129	-16.348340868840275
0.6134	-16.351432755570453
0.6137	-16.353744153085703
0.6139	-16.355295738490504
0.6145	-16.358983089805463
0.6147	-16.36166580327013
0.6149	-16.363291119168867
0.6155	-16.36509048325814
0.6157	-16.362511027087457
0.616	-16.360879911990104
0.6165	-16.358607993980627
0.6168	-16.356060170737173
0.617	-16.35463383910798
0.6175	-16.35701507848965
0.6178	-16.358673361795756
0.618	-16.365014174363026
0.6185	-16.369331684296327
0.6188	-16.373725840661688
0.619	-16.374233922732746
0.6196	-16.374328734986626
0.6198	-16.373170383620213
0.6201	-16.37073954153565
0.6206	-16.365233374194723
0.6209	-16.363137689140263
0.6211	-16.35812385852787
0.6216	-16.357584306380065
0.6221	-16.35655425946544
0.6224	-16.35341259728523
0.6229	-16.352853930158584
0.6231	-16.353601999813417
0.6234	-16.35282966990109
0.6239	-16.356927023484097
0.6241	-16.36028737434417
0.6243	-16.36469044322668
0.6248	-16.370012174544804
0.6251	-16.374115710024075
0.6253	-16.37782712348833
0.6258	-16.38037327234556
0.6261	-16.382837241968538
0.6264	-16.383081099075266
0.6269	-16.38137890917413
0.6271	-16.379234475286328
0.6276	-16.377365575541447
0.6279	-16.374798838727084
0.6281	-16.373334845713366
0.6287	-16.36895087296584
0.6289	-16.365732454314813
0.6291	-16.364530885990412
0.6297	-16.363458943709638
0.6299	-16.36199000476812
0.6304	-16.363162178080305
0.6306	-16.36324678082357
0.6309	-16.365650559765733
0.6314	-16.370473052571615
0.6317	-16.373081935323906
0.6319	-16.374745569705947
0.6324	-16.376033020700373
0.6327	-16.373822430514668
0.6329	-16.373133015420606
0.6334	-16.37275414856169
0.6336	-16.36999366623345
