# Temperature (K)	C55 Attenuation (Neper/m)
0.6415	3.4848974391456586
0.6418	3.3784019719888785
0.6424	3.599045893102707
0.643	3.5543071139934437
0.6433	3.3952007086349063
0.6436	3.4043989942243225
0.6442	3.9484591395066846
0.6445	4.050468421922125
0.6448	3.8535644325391187
0.6458	3.839186110721712
0.6464	3.9673736661342724
0.6467	3.5691682103405715
0.647	2.8928035559750094
0.6488	2.5506022663405044
0.6492	3.1067650973279
0.6498	3.2277680440607943
0.6501	3.1212224859782713
0.6504	3.3110504296760803
0.6508	4.219310475628
0.6514	4.172861856941332
0.6517	4.916242364237809
0.652	5.517558529866274
0.6532	5.995509508780878
0.6535	5.495167826511244
0.6541	5.274517437404099
0.6544	4.086383082275727
0.6557	3.7188734136385575
0.6561	3.1741805320597223
0.6567	4.1268868155941005
0.657	4.486031352380156
0.658	5.208942281623145
0.6583	5.056078769163538
0.6589	5.394996405811631
0.6595	4.407462269810039
0.6599	4.349280970214348
0.6609	3.7634162578670103
0.6615	4.092649013805355
0.6622	3.8875396045958133
0.6632	3.823299312642756
0.6641	3.3082802814397927
0.6653	3.569888821658465
0.6656	3.7366802927052554
0.666	4.1879019817923195
0.6666	4.43700039932333
0.6679	4.507758339077081
0.6685	4.778246458918396
0.6689	5.142135683806556
0.6695	4.276389582253828
0.6702	3.9812764503838953
0.6712	4.389028564141679
0.6723	4.177507245342368
0.6739	3.424414051764789
0.6748	3.7969956154517295
0.6755	4.280341357419461
0.6759	4.394779517657262
0.6762	4.064223419584132
0.6765	3.761279748526614
0.6772	3.3450244066683936
0.6775	3.662465682923877
0.6785	3.89533760836416
0.6798	4.443902700847566
0.6805	4.858604030838741
0.6818	5.780663893875786
0.6825	5.227929155522262
0.6828	5.396876975972229
0.6832	5.443057475144797
0.6842	5.7036744293130175
0.6852	5.872510375018803
0.6855	5.699308162339768
0.6858	5.0393704208354
0.6869	4.166466727707028
0.6879	3.5540534080088277
0.6895	2.2760191552824827
0.6899	2.220878465058049
0.6906	2.146324167447317
0.6909	2.136572379789321
0.6913	2.6182308956654605
0.692	3.415807739038549
0.6923	3.557951339661806
0.6929	3.366361040617082
0.6933	3.812962444308914
0.6936	3.524372191320312
0.6943	2.9761777560905247
0.6946	2.944384705068749
0.6956	3.4484553427219287
0.6959	3.5552380451878847
0.697	4.129458281205352
0.6973	4.319721858836155
0.6983	4.463453534697608
0.6986	3.8591772921837224
0.6996	3.611461699405891
0.7006	3.6996917485630783
0.7013	4.344841130945131
0.702	4.212226505331073
0.7027	4.761170341368356
0.7037	4.7760944170731605
0.7047	4.253372582538491
0.7057	3.578994444836223
0.7061	3.502939164724383
0.7071	3.2524246327937716
0.7077	3.588470542655795
0.7084	3.63520192740575
0.709	3.9179943597248923
0.7096	3.866333993999061
0.71	4.056237798828625
0.7103	4.331028006466184
0.711	3.86035117188276
0.7113	3.7558929885514254
0.7141	4.164889210217261
0.7151	4.321634416579414
0.7154	4.414082688372278
0.7164	5.416817794016518
0.717	5.811690292937345
0.7174	6.113323900244136
0.7177	6.283006430725189
0.7183	5.874868844341618
0.7187	5.176718172912479
0.719	4.540667447810755
0.7193	4.114068632190505
0.72	4.105643864117214
0.7203	4.244348238465022
0.7213	4.500606309567278
0.723	5.003798536075618
0.7237	5.364188440984607
0.7244	5.583115340247664
0.7247	6.164221748940639
0.725	5.768126402650478
0.7254	5.126230780482192
0.726	4.255318506015456
0.7266	3.585732131861521
0.7277	2.632587528471786
0.7286	3.018254530996082
0.729	3.675458530208217
0.7296	4.671556594343191
0.7306	5.23235130993485
0.7313	6.008410842113537
0.732	6.233596322286472
0.7323	6.446557791349458
0.7329	5.789611767635078
0.7333	5.482238287667457
0.7336	5.06184156727269
0.7339	4.5538066783265565
0.7346	4.322398496750516
0.7349	4.559763701228241
0.7353	4.328110369338208
0.7359	3.856590001602669
0.7366	3.6661904344213814
0.7372	3.116353773709776
0.7376	2.554253281951186
0.7379	2.396331855218838
0.7386	2.5814711775370487
0.7389	3.162305298971778
0.7392	3.928152068302423
0.7399	4.7515400598247535
0.7402	4.945039944407249
0.7405	5.140853683852576
0.7409	4.949824612707445
0.7415	4.90782887104562
0.7418	4.982765987222161
0.7422	5.558778167956277
0.7425	5.69830385097222
0.7431	5.939815671250126
0.7435	6.2613274686771545
0.7438	6.030924760719786
0.7442	5.802322056671304
0.7448	5.409465292852913
