"t","n1","n2"
1.97,0.601664358259653,0
1.98,0.5974947698515863,0
1.99,0.5932958789676531,0
2.,0.5890670590009257,0
2.0100000000000002,0.5848076606885378,0
2.02,0.5805170109479998,0
2.0300000000000002,0.5761944116355173,0
2.04,0.5718391382198319,0
2.05,0.5674504383644444,0
2.06,0.5630275304103699,0
2.07,0.5585696017507578,0
2.08,0.5540758070878028,0
2.09,0.5495452665613636,0
2.1,0.5449770637375485,0
2.11,0.540370243444252,0
2.12,0.535723809439155,0
2.13,0.5310367218940703,0
2.14,0.5263078946776307,0
2.15,0.5215361924162121,0
2.16,0.5167204273105526,0
2.17,0.5118593556827892,0
2.18,0.5069516742254631,0
2.19,0.5019960159204454,0
2.2,0.4969909455915671,0
2.21,0.4919349550499538,0
2.22,0.4868264577855234,0
2.23,0.4816637831516919,0
2.24,0.47644516998286385,0
2.25,0.47116875957558996,0
2.2600000000000002,0.4658325879540846,0
2.27,0.4604345773288536,0
2.2800000000000002,0.454972526643093,0
2.29,0.4494441010848847,0
2.3000000000000003,0.44384682042344287,0
2.31,0.43817804600413296,0
2.32,0.43243496620879324,0
2.33,0.4266145801540309,0
2.34,0.4207136793592528,0
2.35,0.41472882706655445,0
2.36,0.40865633483405117,0
2.37,0.4024922359499622,0
2.38,0.39623225512317917,0
2.39,0.3898717737923586,0
2.4,0.38340579025361643,0
2.41,0.37682887362833545,0
2.42,0.3701351104664351,0
2.43,0.363318042491699,0
2.44,0.3563705936241094,0
2.45,0.3492849839314596,0
2.46,0.3420526275297415,0
2.47,0.3346640106136302,0
2.48,0.32710854467592265,0
2.49,0.3193743884534262,0
2.5,0.31144823004794886,0
2.5100000000000002,0.303315017762062,0
2.52,0.29495762407505266,0
2.5300000000000002,0.286356421265527,0
2.54,0.27748873851023226,0
2.5500000000000003,0.26832815729997467,0
2.56,0.2588435821108958,0
2.57,0.24899799195977498,0
2.58,0.23874672772626654,0
2.59,0.22803508501982794,0
2.6,0.21679483388678808,0
2.61,0.20493901531919234,0
2.62,0.19235384061671354,0
2.63,0.17888543819998357,0
2.64,0.1643167672515499,0
2.65,0.1483239697419137,0
2.66,0.13038404810405302,0
2.67,0.10954451150103378,0
2.68,0.0836660026534076,0
2.69,0.04472135954999706,0
2.7,0,0
2.71,0,0
2.72,0,0
2.73,0,0
2.74,0,0
2.75,0,0
2.7600000000000002,0,0
2.77,0,0
2.7800000000000002,0,0
2.79,0,0
2.8000000000000003,0,0
2.81,0,0
2.82,0,0
2.83,0,0
2.84,0,0
2.85,0,0
2.86,0,0
2.87,0,0
2.88,0,0
2.89,0,0
2.9,0,0
2.91,0,0
2.92,0,0
2.93,0,0
2.94,0,0
2.95,0,0
2.96,0,0
2.97,0,0
2.98,0,0
2.99,0,0
3.,0,0
3.0100000000000002,0,0
3.02,0,0
3.0300000000000002,0,0
3.04,0,0
3.0500000000000003,0,0
3.06,0,0
3.0700000000000003,0,0
3.08,0,0
3.09,0,0
3.1,0,0
3.11,0,0
3.12,0,0
3.13,0,0
3.14,0,0
3.15,0,0
3.16,0,0
3.17,0,0
3.18,0,0
3.19,0,0
3.2,0,0
3.21,0,0
3.22,0,0
3.23,0,0
3.24,0,0
3.25,0,0
3.2600000000000002,0,0
3.27,0,0
3.2800000000000002,0,0
3.29,0,0
3.3000000000000003,0,0
3.31,0,0
3.3200000000000003,0,0
3.33,0,0
3.34,0,0
3.35,0,0
3.36,0,0
3.37,0,0
3.38,0,0
3.39,0,0
3.4,0,0
3.41,0,0
3.42,0,0
3.43,0,0
3.44,0,0
3.45,0,0
3.46,0,0
3.47,0,0
3.48,0,0
3.49,0,0
3.5,0,0
3.5100000000000002,0,0
3.52,0,0
3.5300000000000002,0,0
3.54,0,0
3.5500000000000003,0,0
3.56,0,0
3.5700000000000003,0,0
3.58,0,0
3.59,0,0
3.6,0,0
3.61,0,0
3.62,0,0
3.63,0,0
3.64,0,0
3.65,0,0
3.66,0,0
3.67,0,0
3.68,0,0
3.69,0,0
3.7,0,0
3.71,0,0
3.72,0,0
3.73,0,0
3.74,0,0
3.75,0,0
3.7600000000000002,0,0
3.77,0,0
3.7800000000000002,0,0
3.79,0,0
3.8000000000000003,0,0
3.81,0,0
3.8200000000000003,0,0
3.83,0,0
3.84,0,0
3.85,0,0
3.86,0,0
3.87,0,0
3.88,0,0
3.89,0,0
3.9,0,0
3.91,0,0
3.92,0,0
3.93,0,0
3.94,0,0
3.95,0,0
3.96,0,0
3.97,0,0
3.98,0,0
3.99,0,0
4.,0,0
