# temperature (K),delta c66/c66 (1e-5)
1.356388043478260697e+00,-3.857690982044112094e+00
1.356714130434782728e+00,-3.855663907378761746e+00
1.356931521739130675e+00,-3.854652702039101708e+00
1.357202150537634378e+00,-3.854574557963687198e+00
1.357524731182795819e+00,-3.853425932804693144e+00
1.357847311827957038e+00,-3.851012812121756834e+00
1.358221276595744653e+00,-3.848537712685297763e+00
1.358540425531914897e+00,-3.846267761668827667e+00
1.358803157894737046e+00,-3.844190491201690651e+00
1.359013684210526041e+00,-3.842351546848928656e+00
1.359275000000000233e+00,-3.840798991625506531e+00
1.359587499999999949e+00,-3.838865788643565757e+00
1.360004166666666903e+00,-3.837141741856469057e+00
1.360316666666666618e+00,-3.835053005519415414e+00
1.360526041666666686e+00,-3.833827064676248231e+00
1.360735106382978676e+00,-3.832831527558684392e+00
1.361054255319148920e+00,-3.830854667016184045e+00
1.361269148936170126e+00,-3.829162448755084824e+00
1.361801063829787273e+00,-3.826552529394644075e+00
1.362120212765957517e+00,-3.825402222417847220e+00
1.362439361702127538e+00,-3.824197787548111016e+00
1.362758510638297782e+00,-3.823208533685391153e+00
1.362971276595744685e+00,-3.822168738344605021e+00
1.363238709677419447e+00,-3.820753908851699521e+00
1.363506521739130450e+00,-3.818998603457122609e+00
1.363941304347825900e+00,-3.814808155266761425e+00
1.364267391304347932e+00,-3.811552685271076601e+00
1.364593478260869519e+00,-3.809081930016326556e+00
1.364865591397849576e+00,-3.807462173915512782e+00
1.365136956521739053e+00,-3.805931500853635630e+00
1.365680434782608810e+00,-3.801904095855601629e+00
1.366168817204300945e+00,-3.798959237013914692e+00
1.366598924731182718e+00,-3.796588735669485626e+00
1.366864893617021126e+00,-3.795361787231744888e+00
1.367077659574468251e+00,-3.794082196699616549e+00
1.367345161290322464e+00,-3.792961893861541256e+00
1.367667741935483905e+00,-3.792204313543536820e+00
1.368047826086956631e+00,-3.790472090194859422e+00
1.368482608695652081e+00,-3.789531522673262209e+00
1.368917391304347753e+00,-3.787769902196882921e+00
1.369134782608695700e+00,-3.786828240025491343e+00
1.369460869565217287e+00,-3.785225476542526835e+00
1.369786956521739096e+00,-3.784415690298359003e+00
1.370221739130434546e+00,-3.782322036889507189e+00
1.370547826086956578e+00,-3.780318120803468851e+00
1.370759574468085162e+00,-3.778860879699441622e+00
1.371023157894736721e+00,-3.777897605788315349e+00
1.371233684210526382e+00,-3.776845902775736619e+00
1.371493749999999734e+00,-3.775586641147048450e+00
1.371806249999999894e+00,-3.773942106172829991e+00
1.372222916666666848e+00,-3.772203474884819219e+00
1.372639583333333357e+00,-3.770237024116298574e+00
1.373005263157894840e+00,-3.767688431605834776e+00
1.373162500000000064e+00,-3.766581284821929998e+00
1.373475000000000001e+00,-3.764456687421825265e+00
1.373734020618556650e+00,-3.762577915191898548e+00
1.374146391752577134e+00,-3.760661489513806632e+00
1.374455670103092775e+00,-3.758427328443876725e+00
1.374764948453608637e+00,-3.756800842597158407e+00
1.375022448979591694e+00,-3.755663891587314396e+00
1.375229166666666503e+00,-3.754307109880421045e+00
1.375541666666666663e+00,-3.752732659053368280e+00
1.375854166666666600e+00,-3.750853598392736910e+00
1.376270833333333110e+00,-3.747713018359307480e+00
1.376583333333333492e+00,-3.745501195370824821e+00
1.376895833333333430e+00,-3.742882641445053782e+00
1.377104166666666574e+00,-3.741254293711143930e+00
1.377312500000000162e+00,-3.739043415239808432e+00
1.377625000000000099e+00,-3.735709844868525309e+00
1.378089690721649552e+00,-3.732421484552166824e+00
1.378346875000000082e+00,-3.730801908430394942e+00
1.378659374999999798e+00,-3.729620344328181236e+00
1.378920618556701116e+00,-3.727581380810225831e+00
1.379180208333333324e+00,-3.726152294764645490e+00
1.379492708333333484e+00,-3.723976486766956917e+00
1.379754736842105700e+00,-3.722544805201292384e+00
1.380281052631578964e+00,-3.721086038528922835e+00
1.380596842105263233e+00,-3.719210038719899192e+00
1.380912631578946836e+00,-3.716241152693810612e+00
1.381123157894736719e+00,-3.714361648745291955e+00
1.381438947368421211e+00,-3.711157144935575136e+00
1.381754736842105036e+00,-3.709046904724337512e+00
1.382175789473684357e+00,-3.705616921859178348e+00
1.382596842105263457e+00,-3.702160310912470109e+00
1.382912631578947282e+00,-3.700621271189826089e+00
1.383120618556701098e+00,-3.699446181658187172e+00
1.383485416666666579e+00,-3.697317509161205606e+00
1.383797916666666517e+00,-3.696213102085289748e+00
1.384214583333333470e+00,-3.694688650786550621e+00
1.384527083333333186e+00,-3.693067592048784764e+00
1.384943749999999918e+00,-3.690123744507692205e+00
1.385203092783505063e+00,-3.687883568869992246e+00
1.385359375000000171e+00,-3.686552379755833275e+00
1.385671874999999886e+00,-3.683545350981858313e+00
1.385984375000000268e+00,-3.681524083239183565e+00
