# Temperature (K)	Attenuation (Neper/m)
0.6254	5.726675622537641
0.6257	5.297891194373278
0.6263	5.020993283390908
0.6266	5.051441830396698
0.6269	5.565265193209143
0.6275	6.023899192362933
0.6278	5.738093587383673
0.628	5.795645822212009
0.6287	5.55338231362407
0.6289	5.85354899540539
0.6295	6.0114252381026745
0.6298	6.498709116131067
0.6301	6.042481006309345
0.6307	5.445651469379754
0.6313	4.926894626766398
0.6316	4.729594335705087
0.6322	5.01001842096457
0.6325	5.6146663602442
0.6328	6.517497473955245
0.6334	5.870424519851895
0.6337	5.754804587364106
0.6343	5.088192501664253
0.6346	4.453770598024221
0.6352	3.7503839641808554
0.6355	3.4952221691607974
0.6358	3.8894116520882562
0.6364	4.218011564016251
0.6367	4.742769448086619
0.6369	5.760293968394308
0.6379	6.655016830191016
0.6381	6.574553964659572
0.6387	6.210660447180317
0.6394	6.231618351116822
0.6396	5.858932567760348
0.6399	5.380324813723519
0.6406	4.517021978273988
0.6412	4.001119052991271
0.6415	3.7215659391135887
0.6418	3.559750121459274
0.6424	4.362557145208029
0.643	5.479665118828507
0.6433	6.282682869583368
0.6436	6.2096552990376495
0.6442	5.2506683971732855
0.6445	4.8157203353941895
0.6448	4.551294834539249
0.6455	4.748010974749832
0.6458	4.86162073686728
0.6464	5.5246535796673015
0.6467	5.604432081431241
0.647	5.317511988058641
0.6476	4.256893146410675
0.6479	3.9887996431439205
0.6483	4.284306305274413
0.6488	4.426708003506064
0.6492	4.831276959553406
0.6498	5.395230455696492
0.6501	5.657916750013783
0.6504	5.431271736696317
0.6508	4.997634579613759
0.6514	4.131908817216754
0.6517	3.7083546593785286
0.652	3.5875291537493013
0.6526	3.5288847517222166
0.6532	3.413825647533031
0.6535	3.997681549191384
0.6541	4.805615495145275
0.6544	5.317527336999774
0.6548	5.1318643197416804
0.6551	4.994509604945733
0.6557	4.700864940136626
0.6561	4.485243370384069
0.6567	3.726486935839148
0.657	3.841582925617786
0.6573	3.9710983160882734
0.658	4.13243039548388
0.6583	3.9483122721314885
0.6589	4.665793668478727
0.6595	5.027995475754096
0.6599	5.70201396793118
0.6605	6.209737182781055
0.6609	6.845532149076462
0.6612	6.563960353284983
0.6615	6.390006415173502
0.6622	6.1409152101725795
0.6628	5.74181673116982
0.6632	5.597454974427819
0.6635	5.9301750998943135
0.6641	5.776626815274312
0.6647	6.275720023363874
0.6653	6.824491679295988
0.6656	6.593073359131722
0.666	6.0970547795295715
