# Temperature (K)	Delta c33/c33 (1e-5)
0.9064	-6.146124098993764
0.9069	-6.16930099844121
0.9078	-6.155945607596806
0.9083	-6.1161425423107065
0.9087	-6.097459169752434
0.9096	-6.186206230749709
0.9101	-6.193839993158465
0.9106	-6.218444218634437
0.9116	-6.188643387803495
0.912	-6.236641962744491
0.9125	-6.273037565040759
0.9135	-6.308981967895788
0.9139	-6.308968988042819
0.9144	-6.329928266694315
0.9149	-6.399393001746009
0.9158	-6.47924648694886
0.9163	-6.445822744104931
0.9168	-6.439778725910916
0.9172	-6.442676104270435
0.9182	-6.406422145468918
0.9187	-6.399315561498415
0.9191	-6.359786233816626
0.9196	-6.306078277535174
0.9206	-6.283118121409517
0.9211	-6.292931908919722
0.9216	-6.263937796882197
0.9221	-6.269910940575313
0.923	-6.256971328203658
0.9235	-6.285795713094436
0.9239	-6.346384878958167
0.9249	-6.437676632092311
0.9253	-6.437754164127741
0.9258	-6.471281122956597
0.9267	-6.494481605888676
0.9272	-6.493217778034252
0.9277	-6.490923797900624
0.9286	-6.4564343424400175
0.9291	-6.361271767677133
0.9296	-6.3701483360826705
0.9301	-6.363163395254788
0.931	-6.334452794637197
0.9315	-6.388294285057567
0.9319	-6.413183860823786
0.9324	-6.422059631594732
0.9334	-6.462059902959159
0.9338	-6.466264084375181
0.9348	-6.447131431290535
0.9353	-6.475724714408215
0.9358	-6.463545142165856
0.9363	-6.431391198262204
0.9371	-6.384425630376339
0.9376	-6.369833203929857
0.9381	-6.362402502867534
0.9385	-6.37164992475356
0.9394	-6.344782701021949
0.9398	-6.35288787626362
0.9403	-6.376434503992936
0.9408	-6.422654815702287
0.9418	-6.43149801174344
0.9423	-6.457589509410343
0.9428	-6.469101230485377
0.9432	-6.472835986749214
0.9442	-6.428164149337037
0.9446	-6.397558466834303
0.9451	-6.395338293113294
0.9455	-6.401295145185778
0.9465	-6.380730189365774
0.947	-6.339766226163423
0.9474	-6.3083388617829925
0.9479	-6.2645698244211445
0.9489	-6.251842076137098
0.9493	-6.262883565006392
0.9498	-6.255006734393047
0.9503	-6.275943977511088
0.9512	-6.308517187070825
0.9521	-6.36276197004034
0.9526	-6.424128920993282
0.9531	-6.41480497092131
0.9541	-6.375832358832826
0.9545	-6.395692895576089
0.955	-6.420338740556629
0.956	-6.468498211830997
0.9564	-6.436711163385878
0.9569	-6.432108102953023
0.9578	-6.522908851318368
0.9583	-6.584834277311927
0.9588	-6.577486421046288
0.9597	-6.519923107576563
0.9602	-6.465257206339571
0.9607	-6.513345306462787
0.9616	-6.548047153027726
0.962	-6.490097721322711
0.9625	-6.478869345936751
0.963	-6.478710372876465
0.964	-6.48749587789526
0.9645	-6.482731685099992
0.9649	-6.47391714161522
0.9659	-6.457914565525131
0.9663	-6.447766854900469
0.9668	-6.414829231040335
0.9677	-6.414779123852517
0.9681	-6.416185394784139
0.9685	-6.399622542690098
0.9693	-6.375605164405591
0.9697	-6.34197384644171
0.9701	-6.34783152395809
0.9705	-6.374323348583467
0.9717	-6.331346373030259
0.9721	-6.317277565035264
0.9726	-6.293397880995032
0.9736	-6.3155496190537255
0.9741	-6.352089636843558
0.9749	-6.362066873402961
0.9754	-6.354605364801975
0.9758	-6.424170700059315
0.9768	-6.49399001863061
0.9773	-6.588736875258504
0.9778	-6.5939811292949395
0.9787	-6.6115762196687164
