# Temperature (K)	$\Delta c_{33}/c_{33}$ ($10^{-5}$)
0.4868	-0.34713913108584604
0.487	-0.38917148386401734
0.4871	-0.3615368573875164
0.4873	-0.3755615124271958
0.4874	-0.2783954418245795
0.488	-0.25445779008536307
0.4882	-0.2960922490611321
0.4883	-0.33891934193594003
0.4884	-0.34662346959479967
0.4887	-0.35370756875816145
0.489	-0.37614663349100835
0.4891	-0.3638772786716227
0.4893	-0.41973165198206697
0.4896	-0.38535950332309876
0.49	-0.37810416033190763
0.4903	-0.31652745475596994
0.4904	-0.39267307559999365
0.4906	-0.3581241874281816
0.4907	-0.41806509325547464
0.4911	-0.32879146870238607
0.4913	-0.36934840706194827
0.4916	-0.37460029618794405
0.4917	-0.4172149401422829
0.492	-0.3534684297255463
0.4923	-0.39026599219088887
0.4924	-0.4130210897178696
0.4926	-0.43419776185451436
0.493	-0.4380240278591737
0.4931	-0.4545660410916481
0.4932	-0.4186769580359436
0.4933	-0.4072051424042348
0.4937	-0.40450717641681294
0.4939	-0.36324727430459147
0.494	-0.3469110541435682
0.4941	-0.3410453304456479
0.4944	-0.29937520773292886
0.4947	-0.3233139752444574
0.495	-0.34482090573369667
0.4953	-0.35254863143019544
0.4954	-0.3556480812956366
0.4957	-0.42505798193240396
0.4958	-0.4136550699089575
0.4959	-0.4112758910987533
0.4961	-0.46111426986866405
0.4964	-0.4866998187791269
0.4965	-0.5095702590996022
0.4967	-0.5176250752618194
0.4968	-0.4864209738311394
0.497	-0.4623314574131975
0.4971	-0.42137318208696806
0.4972	-0.39421809412231484
0.4973	-0.33519960348928873
0.4976	-0.34011177705403495
0.4979	-0.3281968082989274
0.498	-0.3748587618065567
0.4982	-0.3745360839696232
0.4983	-0.5201127194660313
0.4985	-0.5197735005873038
0.4987	-0.5531766769104678
0.4988	-0.5667504660682414
0.499	-0.6734050972803848
0.4994	-0.6852962432968692
0.4996	-0.734463057934063
0.4999	-0.6493036534582335
0.5001	-0.7073544556072965
0.5002	-0.7107251066166674
0.5004	-0.6857755384929825
0.5005	-0.5670843135664645
0.5008	-0.549228131344106
0.5009	-0.5105413566000403
0.501	-0.48744491019409153
0.5012	-0.43824006910055896
0.5014	-0.4551739591556547
0.5015	-0.39125479573211785
0.5017	-0.4390735403959807
0.5018	-0.29310067138367435
0.5019	-0.30024916727513057
0.5021	-0.30447782873449203
0.5023	-0.22316673234408166
0.5024	-0.11523702731543232
0.5025	-0.18298031722586164
0.5026	-0.1739886574185544
0.5027	-0.2429659121228614
0.5028	-0.24074374386527592
0.5029	-0.16731846888332638
0.503	-0.24426762430382604
0.5032	-0.297188465905486
0.5033	-0.30814022627751586
0.5034	-0.3377815895882074
0.5035	-0.3968231882244676
0.5036	-0.4042869862363888
0.5037	-0.4620573774055465
0.5038	-0.45976531251095226
0.5039	-0.47202480088671356
0.5041	-0.3985192723232122
0.5044	-0.32826747300682335
0.5048	-0.2460449919628599
0.5052	-0.23493294488221247
0.5055	-0.22557627451915568
0.5062	-0.14905025747784312
0.5066	-0.14340174373022804
0.5073	-0.18536843436512024
0.508	-0.1849917485029986
0.5084	-0.22913762240619173
0.5087	-0.2837103084447987
0.5091	-0.36087489657981386
0.5095	-0.4314432310775216
0.5098	-0.4767380937349574
0.5101	-0.48552585535080994
0.5105	-0.5179114374352991
0.5112	-0.5078041403344018
0.5115	-0.4853716293245613
0.5119	-0.4577631736071686
0.5122	-0.4418259998305766
0.5129	-0.43553554991781507
0.5132	-0.37893558274321393
0.5136	-0.3521271076070233
0.5139	-0.368857905426131
0.5146	-0.36096917154763436
0.5149	-0.35167992743958043
0.5152	-0.3618636895333471
0.5156	-0.35574501047948437
0.5159	-0.3981558574093476
0.5163	-0.3579477204893088
0.5169	-0.30897605009671236
0.5172	-0.30844859603178865
0.5179	-0.2780839017117502
0.5182	-0.22017385936470635
0.5185	-0.22985752922276406
0.5189	-0.22035778643495402
0.5195	-0.25789131830996787
0.5199	-0.27176979078643587
0.5202	-0.25420405146338126
0.5205	-0.2435948450372468
0.5208	-0.26509146691830265
0.5214	-0.26648607555927345
0.522	-0.294332910957136
0.5223	-0.3351655126353394
0.523	-0.36747785664895666
0.5236	-0.40266060475275256
0.5239	-0.4721986014081832
0.5245	-0.5808083262726176
0.5251	-0.6579691749833676
0.5254	-0.7188846335394238
0.5257	-0.7152488660726785
0.5263	-0.6642437332985334
0.5266	-0.6426302655614399
0.5269	-0.588465623767233
0.5275	-0.5359063581133735
0.5281	-0.46452158257521264
0.5284	-0.4120374940686204
0.5286	-0.4147855373865375
0.5289	-0.47292827471861304
0.5295	-0.472610467435082
0.5298	-0.4814188359725879
0.5303	-0.4532983031956449
0.5309	-0.39287674220074686
0.5312	-0.3444067712262587
0.5317	-0.29209394921565407
0.532	-0.25706581149340546
0.5323	-0.22824152062237835
0.5325	-0.19637002616868768
0.5331	-0.18037269328823766
0.5336	-0.20462332085103202
0.5338	-0.23764853545171696
0.5341	-0.2770842491343831
0.5346	-0.30814886756863663
0.5348	-0.31779914176762014
0.5351	-0.3423695234777064
0.5354	-0.31342536711626956
0.5356	-0.32142631034553365
0.5359	-0.3025350028722991
0.5362	-0.2926743534057805
0.5364	-0.2742592909335459
0.5367	-0.3016946559292814
0.5369	-0.31025487192132245
0.5372	-0.3658811336172394
0.5374	-0.3747579575133299
0.5377	-0.382724856058434
0.5382	-0.3965125740546752
0.5387	-0.39995261446338176
0.5389	-0.3894327534727461
0.5392	-0.4224852656065359
0.5394	-0.423955414529544
0.5397	-0.43146464277111096
0.5401	-0.4291175431600253
0.5406	-0.4103815962941404
0.5409	-0.3959989032992434
0.5411	-0.4037031750233099
0.5413	-0.3138102202163863
0.5418	-0.28772177007000954
0.5423	-0.29536522141053445
0.5425	-0.3333532955398025
0.5427	-0.37397607215992107
0.543	-0.4511697592391323
0.5432	-0.5125945359412944
0.5434	-0.6311697365903407
0.5437	-0.6755688613465387
0.5439	-0.6731797674028478
0.5441	-0.6897322067661978
0.5443	-0.7212953016426896
0.5446	-0.7249662781979878
0.5448	-0.6652677951013226
0.545	-0.6070426324082939
0.5452	-0.5627696615808676
0.5457	-0.5451613815599295
0.5459	-0.5312627883512049
0.5463	-0.5114772826385178
0.5465	-0.47621718923738293
0.547	-0.4715693092653522
0.5472	-0.4663117875342474
0.5474	-0.4773590210492444
0.5479	-0.4865664069212389
0.5481	-0.41853036901588553
0.5483	-0.3431851570382303
0.5485	-0.32111019480999065
0.5487	-0.3042515348076316
0.5491	-0.29789421040006425
0.5496	-0.31976221374975666
0.5498	-0.3299974983344473
0.55	-0.3482721513234384
0.5502	-0.36386567107838474
0.5504	-0.3217113716127835
0.5508	-0.33551778334566906
0.5511	-0.3610010871993593
0.5515	-0.37136911933872097
0.552	-0.3885992685809923
0.5522	-0.4646394000127708
0.5526	-0.4868459513938443
0.5531	-0.5418931254823902
0.5537	-0.5714132420818554
0.5539	-0.6302259886913087
0.5543	-0.6442011609476878
0.5545	-0.6311145248953437
0.5548	-0.5804982172818556
0.555	-0.5864519199703647
0.5554	-0.5692718270947777
0.5556	-0.5614847982519133
0.5559	-0.5117662599920039
0.5561	-0.4778576930631573
0.5565	-0.43683229094607706
0.5569	-0.3978493125538883
0.5571	-0.3786988937793925
0.5574	-0.3808558312367616
0.5576	-0.3628940791833204
0.5578	-0.3462188966441102
0.558	-0.35655335551052486
0.5582	-0.36978288213142724
0.5585	-0.4411561147734385
0.5587	-0.5185604852265122
0.5591	-0.5401148913196808
0.5593	-0.5626563849081903
0.5598	-0.5723414863688244
0.5602	-0.5821198931397094
0.5604	-0.6200119096647145
0.5608	-0.582939420529605
0.5613	-0.5134396757258574
0.5615	-0.46813821046524756
0.5619	-0.4265826694059914
0.5621	-0.4151855048121728
0.5624	-0.36952845882546737
0.5626	-0.2816518880908705
0.563	-0.2583302077695676
0.5632	-0.21640925171732975
0.5637	-0.23830282894977825
0.5641	-0.22760718653945214
0.5644	-0.21501944681305812
0.5649	-0.2342326674182416
0.5653	-0.2955753754438685
0.5655	-0.34411656999716783
0.566	-0.38989170609431906
0.5664	-0.3895531355755194
0.5666	-0.4194199190423727
0.567	-0.4829847648293106
0.5673	-0.5279683806003349
0.5675	-0.5788206263125905
0.5677	-0.5886168545565332
0.5679	-0.581048079606746
0.5684	-0.5589804454324065
0.5686	-0.5980116285333841
0.5688	-0.5552979002023826
0.5691	-0.49699983598631947
0.5693	-0.43386187210225163
0.5695	-0.4131163793711767
0.57	-0.4547526964207193
0.5702	-0.5132364951127897
0.5707	-0.5188097207448625
0.5711	-0.5525724090457198
0.5714	-0.5771129389372196
0.5716	-0.5928913938236726
0.5718	-0.5723175698773345
0.5723	-0.5396541998927501
0.5725	-0.5117647125134741
0.5729	-0.49385159673961315
0.5731	-0.48846222833482217
0.5734	-0.47991786618205423
0.5736	-0.45567453453240186
0.5741	-0.4544578518153975
0.5743	-0.45778189122112295
0.5745	-0.4642886998713859
0.5748	-0.4649327764817071
0.5752	-0.4678997320204123
0.5757	-0.48266838870439993
0.5759	-0.5042437995600131
0.5762	-0.5379469283100677
0.5764	-0.6001177022063542
0.5768	-0.6147648100866064
0.5771	-0.5825533575331682
0.5775	-0.5919480934820244
0.578	-0.5873176558232899
0.5783	-0.5873753349492989
0.5787	-0.5659730937714957
0.579	-0.5378354590934974
0.5792	-0.5399320097606708
0.5794	-0.5544053063748426
0.5797	-0.5103900154271473
0.5799	-0.5299405286483593
0.5804	-0.5969958618459892
0.5807	-0.6372846634575963
0.5811	-0.6552648059155579
0.5813	-0.6669344873634866
0.5816	-0.7249404736393242
0.582	-0.7718736359399049
0.5823	-0.7888899931081147
0.5825	-0.7988818944948072
0.5827	-0.7617487686713189
0.5832	-0.7711642038631551
0.5835	-0.7547382973660582
0.5837	-0.7234876589990263
0.5839	-0.7243974631424456
0.5844	-0.7060304331498509
0.5847	-0.6426213484798515
0.5849	-0.649190278353285
0.5851	-0.597876423898706
0.5856	-0.5959543583336526
0.5858	-0.5747217155570207
0.5861	-0.47943721368686204
0.5863	-0.4444218964774289
0.5865	-0.40958323208793473
0.5868	-0.3740922326545836
0.5872	-0.31493960967013546
0.5875	-0.2491424240349622
0.5877	-0.20581530020844965
0.5882	-0.21109992756096632
0.5884	-0.22111285696097985
0.5887	-0.27384675301543693
0.5889	-0.30270508332315377
0.5894	-0.3397944921238946
0.5897	-0.3594081905427993
0.5899	-0.4076005765263755
0.5904	-0.43612177413759945
0.5906	-0.43653740886183773
0.5911	-0.39224682607669203
0.5914	-0.3765978797584346
0.5916	-0.39215822361339797
0.5918	-0.4210005529105785
0.5921	-0.41148403148168644
0.5923	-0.39432169779737725
0.5928	-0.34998707432501963
0.593	-0.3233407947974811
0.5932	-0.34778408671223915
0.5935	-0.30552679433501806
0.594	-0.26809432126416777
0.5942	-0.2644750858509232
0.5945	-0.2576736437710334
0.5947	-0.2512101645731106
0.5949	-0.26640722644855064
0.5952	-0.2227525074456182
0.5954	-0.27576663445099464
0.5957	-0.3408606586340688
0.5962	-0.3553458754835225
0.5964	-0.38630890720319
0.5967	-0.4237678906144227
0.5969	-0.42854400876283094
0.5974	-0.462512539283108
