# Temperature (K)	Delta c33/c33 (1e-5)
0.584	-0.4506576720499984
0.5843	-0.45244666901820096
0.5847	-0.4561708765501198
0.585	-0.4613200585510695
0.5852	-0.4515023555052107
0.5856	-0.4418513595690978
0.5859	-0.4313466741883598
0.5863	-0.4208916941206242
0.5866	-0.417317973335142
0.5868	-0.41531852690919635
0.5873	-0.41113832011471185
0.5875	-0.4126295394255095
0.5878	-0.41755000489104077
0.5883	-0.428262144676574
0.5885	-0.4399557517348951
0.5889	-0.44396635703559273
0.5892	-0.4455562152559276
0.5894	-0.4646525850815131
0.5899	-0.47946741958633066
0.5901	-0.48780231868064305
0.5904	-0.4805865814930099
0.5909	-0.47251249059733347
0.5911	-0.46448623494743657
0.5914	-0.4622845013936283
0.5919	-0.4456769795871267
0.5921	-0.4357057799808688
0.5926	-0.42645915648063504
0.5928	-0.42542728604119695
0.5931	-0.4375301587480349
0.5936	-0.451662869981333
0.5938	-0.4576652302589821
0.5943	-0.4645446819475776
0.5945	-0.4643205927056302
0.595	-0.47396940779955976
0.5953	-0.48193038280708933
0.5955	-0.4781154493359372
0.5961	-0.4670924117490385
0.5963	-0.45940409800196935
0.5965	-0.454225384723971
0.597	-0.4544777142784815
0.5973	-0.4485054725319326
0.5978	-0.446608575776807
0.598	-0.4530527747465438
0.5983	-0.4723671614830627
0.5988	-0.4889084070896894
0.599	-0.5022831335038145
0.5995	-0.514022848017623
0.5997	-0.5229242958470497
0.6	-0.5299275364724849
0.6004	-0.5351916836788515
0.6007	-0.5280438954403879
0.601	-0.5279893377862255
0.6015	-0.5226378867932349
0.6017	-0.5205183701535541
0.6022	-0.5194552873779559
0.6025	-0.5113373691380803
0.6029	-0.5023067359266769
0.6032	-0.4909991811890011
0.6037	-0.47575239118774615
0.6039	-0.4765753548975278
0.6042	-0.4750800761402596
0.6047	-0.47567611354999695
0.6049	-0.4871383183740976
0.6054	-0.49218926769721705
0.6057	-0.5008357107558901
0.6059	-0.5093351006915281
0.6064	-0.5081051882348362
0.6066	-0.510574016541752
0.6074	-0.5070912015227043
0.6077	-0.49645907027151015
0.6079	-0.4878504950964828
0.6084	-0.48043601584608986
0.6087	-0.47969064449092613
0.6092	-0.4757594998168493
0.6094	-0.46866153005498745
0.6096	-0.46335183947711567
0.6101	-0.46219085833688833
0.6104	-0.46379354307205567
0.6106	-0.4703510472723984
0.6111	-0.470004835993163
0.6113	-0.4733613882792662
0.6116	-0.47414208160550864
0.6121	-0.474951514985408
0.6124	-0.48107505547118734
0.6129	-0.48803712693009693
0.6134	-0.48997880233480107
0.6137	-0.4898766140691979
0.6142	-0.4860785146940083
0.6144	-0.4785517851528356
0.6147	-0.47967545401456935
0.6152	-0.47574429821464737
0.6154	-0.4669875592268511
0.6156	-0.45624816322687156
0.6161	-0.4493544735414572
0.6164	-0.4473920178206914
0.6166	-0.45105207224227506
0.6171	-0.44766164315497115
0.6173	-0.4373857838895745
0.6176	-0.4297569544423636
0.6178	-0.4313523527184513
0.6183	-0.4330338997676835
0.6186	-0.4368338821105189
0.6191	-0.4448846417016137
0.6193	-0.4507154075613977
0.6196	-0.4682561499691378
0.6201	-0.4803106528733183
0.6203	-0.4949583863620335
0.6208	-0.5046245280047073
0.621	-0.5168135512767265
0.6215	-0.525424314575444
0.6218	-0.5355479927600673
0.6223	-0.5410568692455469
