# Temperature (K),alpha_33
0.5282,-14.341636041395127
0.5288,-14.31069133904716
0.5295,-14.321947459528552
0.5304,-14.329366501889602
0.531,-14.30460617398031
0.5317,-14.277059609918211
0.5323,-14.270055521744403
0.5332,-14.27307189477267
0.5338,-14.258116198513463
0.5345,-14.268474831462413
0.5352,-14.246015563124885
0.536,-14.211081564256354
0.5366,-14.198516778009633
0.5373,-14.172581390834779
0.5379,-14.15505671703329
0.5388,-14.15832495078844
0.5394,-14.159021572426347
0.54,-14.127395953400587
0.5409,-14.112532069391591
0.5415,-14.105731704314628
0.5421,-14.096511618182298
0.5428,-14.070646443574788
0.5437,-14.071879733931468
0.5443,-14.075109467981981
0.5449,-14.057526069412312
0.5456,-14.027485401866656
0.5465,-14.036283008728788
0.5471,-14.014029835223646
0.5478,-14.02111106066652
0.5484,-13.974742694874038
0.5492,-13.970495329929477
0.5498,-13.973337084527053
0.5505,-13.941827008184113
0.5511,-13.962541075581022
0.5519,-13.928601250511043
0.5526,-13.907587849749461
0.5532,-13.884846594811059
0.5541,-13.86441292245155
0.5547,-13.907500684826616
0.5553,-13.898931257029467
0.556,-13.867615596527529
0.5568,-13.84579804039879
0.5575,-13.81963409429138
0.5582,-13.81446234525955
0.5588,-13.811410950867966
0.5597,-13.785875805946006
0.5603,-13.760989044561057
0.5609,-13.749277133493322
0.5616,-13.73374836841257
0.5624,-13.726736432443431
0.5631,-13.708810981978523
0.5637,-13.690822661069959
0.5643,-13.674716355623666
0.5652,-13.670660859846699
0.5659,-13.659268837066072
0.5665,-13.669095844475919
0.5671,-13.660213717195127
0.568,-13.64394272064883
0.5686,-13.615616640640425
0.5692,-13.608357085152704
0.5701,-13.60681360812412
0.5708,-13.553249867124784
0.5714,-13.558046818148384
0.5721,-13.540288461015571
0.5729,-13.538358704623818
0.5735,-13.53549251438696
0.5742,-13.51550810952282
0.5748,-13.515907469498373
0.5756,-13.494936131799157
0.5764,-13.457429285953495
0.577,-13.442494630642415
0.5777,-13.453401553304538
0.5785,-13.415827256028336
0.5791,-13.442118795741017
0.5798,-13.42148799799238
0.5805,-13.399692421958058
0.5814,-13.379390827450187
0.582,-13.370071643317928
0.5826,-13.350967125511232
0.5833,-13.34449925184719
0.5842,-13.33730715513412
0.5849,-13.303335712297319
0.5855,-13.285249085149061
0.5862,-13.288091313533094
0.587,-13.27813683806989
0.5877,-13.278845916526755
0.5883,-13.254396937447083
0.589,-13.209916492467613
0.5898,-13.225314173696852
0.5904,-13.222537265000923
0.5911,-13.216034310710512
0.5918,-13.184258147721636
0.5926,-13.177957735664329
0.5933,-13.160344897481366
0.5939,-13.121594927791634
0.5948,-13.139655908685405
0.5954,-13.118176408291419
0.5961,-13.119530921663696
0.5969,-13.105311079125919
0.5975,-13.084126925192429
0.5982,-13.06220242767705
0.5989,-13.05601660565332
0.5997,-13.038205878979547
0.6003,-13.02103639236011
0.6009,-12.988870944633064
0.6016,-12.97433081191059
0.6024,-12.966142879621437
0.603,-12.945847191710044
0.6037,-12.931373445495126
0.6046,-12.92816413050894
0.6052,-12.892960938547596
0.6058,-12.905623736562404
0.6064,-12.892402883256452
0.6073,-12.882862925212002
0.6079,-12.85760019254937
0.6086,-12.8320293127801
0.6092,-12.843680882936987
0.6101,-12.827254391848363
0.6107,-12.79046666511249
0.6113,-12.78471157747478
0.6119,-12.760754602679945
0.6128,-12.763649874054892
0.6134,-12.775090508024697
0.6141,-12.734648012315482
0.6148,-12.721903654630232
0.6157,-12.699391041875685
0.6163,-12.705247734652659
0.617,-12.679425064421977
0.6176,-12.680039370148698
0.6185,-12.663914760669762
0.6192,-12.651684367569388
0.6198,-12.63267933600605
0.6206,-12.621081394012691
0.6212,-12.573413375861769
0.6219,-12.574887581992677
0.6228,-12.55242184065105
0.6234,-12.536308092483345
0.624,-12.51722577006965
0.6247,-12.496807950471059
0.6256,-12.498271287870338
0.6262,-12.487678807434584
0.6268,-12.460555924980696
0.6275,-12.456385678649617
0.6283,-12.449598902045935
0.629,-12.455927041447396
0.6296,-12.417565998553357
0.6303,-12.423877821258877
0.6311,-12.404719787158271
0.6317,-12.383920380909956
0.6324,-12.353588488233392
0.6331,-12.342300626505697
0.6338,-12.31899856457607
0.6344,-12.308450957000701
0.6351,-12.307889750925725
0.6359,-12.281247109200251
0.6366,-12.275480695933098
0.6373,-12.252275159495106
0.6379,-12.248516240453398
0.6388,-12.216080647258224
0.6394,-12.205215308844238
0.6401,-12.205678388341852
0.6407,-12.15374014991805
0.6414,-12.163164560350687
0.6422,-12.142247143744186
0.6429,-12.141527016775065
0.6435,-12.104570994165883
0.6444,-12.10175400040631
0.645,-12.067565218123022
0.6456,-12.059508126551904
0.6463,-12.03983955543955
0.6472,-12.025074687609319
0.6479,-12.029886082460074
