# Temperature (K)	Attenuation (Neper/m)
0.4665	869.8356742512636
0.4667	871.2450347927551
0.4669	871.4048325186862
0.4671	871.132450875309
0.4673	871.7792869545244
0.4674	871.0063942960496
0.4676	870.6108846199996
0.4678	871.7807739747554
0.4679	871.9288793831433
0.4681	871.4466425395102
0.4683	872.0113258048766
0.4684	873.0467402211158
0.4686	873.2122276613396
0.4689	872.2867507133755
0.4691	872.7904844847722
0.4693	871.7657305197582
0.4694	872.1316726861053
0.4696	871.4099629561842
0.4697	872.5773862820918
0.4699	870.9978939016186
0.4702	871.7330710782533
0.4705	871.2208995219667
0.4708	871.2057443818466
0.4711	870.9984269222302
0.4715	871.0369154963334
0.4717	871.7419071503381
0.4718	871.0560747252854
0.4719	871.6783830635935
0.4723	872.4766139434882
0.4724	870.4152862270299
0.4728	870.1296076491043
0.4729	871.2243126549258
0.4731	870.9084337963278
0.4732	871.8311415822136
0.4735	871.6630125827395
0.4738	870.5802267240625
0.4741	872.4711600369442
0.4745	871.7906806518506
0.4748	871.5684992422797
0.4749	871.2480254207715
0.4752	870.908127553567
0.4753	869.8476382821096
0.4754	871.9900848078046
0.4756	870.0120613377472
0.4758	871.0246483294583
0.4761	871.1582330223224
0.4763	869.7998706029407
0.4767	869.1493093826683
0.4768	871.4541971600662
0.4772	871.8871772313659
0.4774	870.216674609899
0.4775	870.6309649006653
0.4778	870.1967189775904
0.4782	870.7485052179488
0.4786	871.2103460361955
0.4789	872.8885505545552
0.4793	871.0336756274123
0.4797	873.271440092466
0.48	872.359352480568
0.4801	871.5371288096652
0.4804	872.5916331269271
0.4805	871.6271388168394
0.4811	871.9249904220505
0.4814	872.3506714640104
0.4815	873.4589643743137
0.4818	872.3011542536706
0.4819	872.9620787546191
0.4822	870.8305810851936
0.4827	873.2011610790536
0.483	873.1060502068557
0.4834	872.2292775718638
0.4838	872.3252934002372
0.4842	872.3922986213715
0.4846	872.1129283522405
0.4847	871.6657711297897
0.4851	870.9896147353921
0.4852	872.2192153927359
0.4853	872.0733039985959
0.4855	870.8747320862341
0.4857	872.6560361352023
0.4864	870.77472193181
0.4865	872.6126984932508
0.4868	871.2847460127845
0.4869	872.6600636814741
0.4872	871.9365632276819
0.4873	871.2784939644927
0.488	872.6510924613965
0.4881	871.2214506555952
0.4884	872.2921511562142
0.4886	871.1097892775184
0.4888	871.5335817354957
0.4891	873.1845741236558
0.4894	871.2225290156395
0.4897	872.229625077221
0.4899	871.1452667561304
0.49	871.0394979275587
0.4903	870.8546533601639
0.4905	870.8430684005361
0.4912	871.1349959166862
0.4913	870.8677753976574
0.4915	872.7231896604841
0.4916	871.335525214495
0.4917	871.009813991797
0.4921	871.0671821128528
0.4929	870.6657282970274
0.493	870.6402133522932
0.4933	871.6593168849107
0.4934	870.824681465366
0.4937	870.8410258601034
0.4939	870.6256390922966
0.4945	870.531193428952
0.4947	870.4203767373621
0.4949	871.0427708969244
0.4951	871.279279833618
0.4953	871.0718653707387
0.4956	871.0219886690802
0.4958	871.8212533813328
0.4961	872.174218840388
0.4964	871.8526938428242
0.4965	870.8580451984088
0.4969	870.9577620748397
0.4977	870.8368783654425
0.4981	870.6825561459243
0.4985	871.1513785093284
0.4986	870.4535083631387
0.4993	871.0653361888571
0.4994	872.2769700407954
0.4995	871.7047128570985
0.4997	871.925440782489
0.4998	871.5572486292808
0.5001	872.0303863758346
0.5002	871.1802994161174
0.5009	873.0804908206935
0.501	871.1643292287376
0.5011	872.2420313504477
0.5013	872.4254162663606
0.5014	871.367145634258
0.5018	871.158458517593
0.5019	871.1663889628358
0.5021	871.6878261564663
0.5025	871.3363204315177
0.5026	870.7623644670444
0.503	871.1510243458964
0.5033	871.8937606056007
0.5034	872.1379827972985
0.5037	871.0759115898193
0.5039	870.9927454043897
0.5041	871.1422658376019
0.5045	872.6004346530259
0.5049	871.7390304292064
0.5052	872.0657264670747
0.5053	872.0597392270461
0.5055	870.9012293093414
0.5057	872.5185799642454
0.5059	870.9924055095336
0.5062	870.7324582415598
0.5064	871.9809297291478
0.5065	870.9989894447752
0.5067	871.652718499805
0.5068	871.199901436033
0.5069	870.9788400626692
0.5072	871.7237388475598
0.5075	871.8937944416135
0.5076	871.5285312626453
0.5078	871.1546740739609
0.508	869.9275969392291
0.5084	870.3819490516506
0.5086	871.2966594747962
0.5088	871.1116171624136
0.5089	871.9513558854514
0.5091	871.8263497040995
0.5094	871.2803399714602
0.5096	871.0308229580037
0.5097	870.8987400502593
0.5098	871.2227491942025
0.5099	870.6685675352705
0.5102	870.6063462559983
0.5103	869.3888034380016
0.5104	871.2494017732954
0.5105	870.6679909016733
0.5106	870.279619021059
0.5108	871.0712302315748
0.5109	871.600113928104
0.511	870.3170205432375
0.5111	870.9703756546756
0.5112	869.9868834231281
0.5113	870.7100565805815
0.5114	870.7441196457955
0.5115	870.8790968727321
0.5118	870.739037079131
0.5126	870.4236113614996
0.513	869.9407880170739
0.5134	869.81287397197
0.5141	870.0309020042858
0.5145	871.1046587204918
0.5153	871.4206159063557
0.5156	871.8762299627631
