# Temperature (K),alpha_33
1.009,-11.173484136550002
1.0105,-11.16520310165
1.0122,-11.15709572735
1.0143,-11.14839820855
1.0159,-11.14054259525
1.0176,-11.132595815
1.0192,-11.1252015343
1.0213,-11.1173011463
1.0229,-11.109661935750001
1.0245,-11.10192587915
1.0262,-11.09396341975
1.0282,-11.0863310712
1.0297,-11.07866075165
1.0315,-11.07131412975
1.0331,-11.063867554100002
1.0347,-11.055824660150002
1.0367,-11.04748570045
1.0384,-11.0395495687
1.04,-11.031269340200001
1.0417,-11.024068131500002
1.0433,-11.016113357550001
1.0453,-11.008561696600001
1.0469,-11.0010067301
1.0486,-10.993762887
1.0506,-10.984992720200001
1.0522,-10.976432513650002
1.0538,-10.967694109650001
1.0557,-10.95980709945
1.0573,-10.9516306536
1.0591,-10.9433139967
1.0607,-10.93462623285
1.0626,-10.92578146325
1.0643,-10.9176920842
1.0659,-10.9090739359
1.0675,-10.901331367700001
1.0692,-10.894083384600002
1.0711,-10.88616894005
1.0729,-10.878240669650001
1.0744,-10.87044200805
1.076,-10.861486246250001
1.0777,-10.853314787050001
1.0797,-10.845672864250002
1.0813,-10.837349991950001
1.0829,-10.829139141150002
1.0846,-10.821478221200001
1.0862,-10.81457272615
1.0881,-10.806743584200001
1.0897,-10.798707065850001
1.0913,-10.7897655301
1.093,-10.78169862655
1.0946,-10.774034873900002
1.0966,-10.76670022955
1.0982,-10.75821355725
1.1003,-10.750047033900001
1.1019,-10.74089061305
1.1038,-10.732081785150001
1.1055,-10.72402320445
1.1072,-10.71584441025
1.1086,-10.706616654300001
1.1106,-10.69836120835
1.1123,-10.690084593800002
1.114,-10.68112724685
1.116,-10.672846566450001
1.1176,-10.66520554805
1.1197,-10.656708834300002
1.1213,-10.64754592755
1.1233,-10.6397403131
1.1249,-10.6313642627
1.1266,-10.622332777
1.1282,-10.613981625050002
1.1303,-10.60605742455
1.1319,-10.5977996028
1.1337,-10.5887109382
1.1354,-10.580365196150002
1.137,-10.573531851550001
1.1391,-10.56576670205
1.1409,-10.557596397700001
1.1426,-10.549209050950001
1.1442,-10.5417086101
1.146,-10.53374557315
1.1478,-10.525099208050001
1.1494,-10.51699999285
1.1511,-10.509133570100001
1.1528,-10.49983951145
1.1544,-10.491368311750001
1.1563,-10.482470454800001
1.1582,-10.4729681801
1.1598,-10.4639782683
1.1618,-10.456537670900001
1.1638,-10.4479228188
1.1653,-10.439119819550001
1.167,-10.430444158450001
1.1686,-10.422809554
1.1702,-10.414513712000002
1.1721,-10.405774499600001
1.1738,-10.396683879200001
1.1754,-10.3876364044
1.1771,-10.379560997
1.1787,-10.37088913865
1.1806,-10.361213626800001
1.1822,-10.353413449000001
1.1838,-10.344398284050001
1.1854,-10.33499258065
1.1869,-10.3267226232
1.1886,-10.318220202300001
1.1903,-10.3108690388
1.192,-10.303278541400001
1.1936,-10.294687871450002
1.1955,-10.286020271200002
1.1972,-10.2777285254
1.1991,-10.268678463050001
1.2007,-10.260702005550002
1.2023,-10.252254719500002
1.2044,-10.2434267831
1.206,-10.23449360815
1.2077,-10.22549447685
1.2097,-10.216731656250001
1.2113,-10.207902879550002
1.2128,-10.198676921850002
1.2146,-10.1912621512
1.2163,-10.18170080255
1.2182,-10.172980186350001
1.2198,-10.164537380850001
1.2216,-10.1560185914
1.2232,-10.14738804605
1.2248,-10.13784910575
1.2269,-10.1289070298
1.2285,-10.12024066855
1.2302,-10.11094382905
1.2319,-10.101557984600001
1.2336,-10.0935746505
1.2355,-10.084262275150001
1.2373,-10.076070132800002
1.2388,-10.068115386850002
1.2404,-10.05961041505
1.2421,-10.05177656695
1.2441,-10.044154309600001
1.2457,-10.0351961446
1.2474,-10.02632016525
1.2491,-10.016916792650001
1.2507,-10.009230497250002
1.2527,-10.001537106850002
1.2544,-9.99294350475
1.256,-9.984079252050002
1.2577,-9.975492685950002
1.2593,-9.9662356799
1.2612,-9.95702312755
1.263,-9.948371084800002
1.2646,-9.940323723950002
1.2663,-9.93253708555
1.2678,-9.92400719495
1.2697,-9.915170695
1.2714,-9.90622436155
1.2731,-9.896856984200001
1.2748,-9.887441928000001
1.2763,-9.87845887425
1.2783,-9.86896807705
1.2799,-9.860156625600002
1.2816,-9.8520305715
1.2832,-9.843619427950001
1.2848,-9.834591869350001
1.2864,-9.824504061550002
1.2884,-9.81623844465
1.2901,-9.8081747835
1.2921,-9.799674763350001
1.2935,-9.792920542600001
1.2951,-9.785129805550001
1.2967,-9.7767626945
1.2984,-9.767864740750001
1.3005,-9.759038044050001
1.3021,-9.74988558135
1.3037,-9.7415984996
1.3054,-9.73184757095
1.3073,-9.72263054365
1.309,-9.712752961200001
1.3104,-9.7033109206
1.312,-9.694419845050001
1.3141,-9.68577332425
1.3158,-9.676758328400002
1.3173,-9.668369693550002
1.3193,-9.6595501191
1.3212,-9.6506340884
1.3227,-9.641030917200002
1.3247,-9.6312680238
1.3267,-9.621763660350002
1.3285,-9.61228065245
1.3302,-9.6024015775
1.3318,-9.59342602855
1.3338,-9.584512924550001
1.3353,-9.575766128000001
1.337,-9.56714692795
1.339,-9.55781551785
1.3405,-9.548740568900001
1.3421,-9.5400959851
1.3437,-9.532485490500001
1.3456,-9.524409943650001
1.3473,-9.5159577778
1.3489,-9.507319022450002
1.3504,-9.498577578550002
1.352,-9.4886201383
1.3539,-9.479532522200001
1.3556,-9.4720141213
1.3572,-9.46343242875
1.3589,-9.45461844545
1.3604,-9.44661001725
1.3623,-9.4368493893
1.3641,-9.427610680250002
1.3657,-9.418584195600001
1.3676,-9.409010492250001
1.3692,-9.39922118305
1.3713,-9.388914688900002
1.3729,-9.379035801150001
1.3748,-9.369765591300002
1.3765,-9.3601294449
1.3781,-9.351407024650001
1.3797,-9.341289840750001
1.3814,-9.3319413481
1.3831,-9.322765450550001
1.3848,-9.3135629138
1.3866,-9.30528572935
1.3885,-9.2959406889
1.3902,-9.2863388566
1.3919,-9.277695903700002
1.3935,-9.2688292189
1.3953,-9.258996876900001
1.3971,-9.24977966255
1.3988,-9.24081262145
1.4004,-9.231906817550001
1.4019,-9.22389288025
1.4041,-9.2161708139
1.4057,-9.208571551950001
1.4073,-9.200394262900002
1.409,-9.19174056345
1.4109,-9.1831032733
1.4126,-9.1737668413
1.4142,-9.16412493005
1.4158,-9.154722252700001
1.4178,-9.145565084100001
1.4194,-9.136737403400002
1.4213,-9.127346444250001
1.4229,-9.1187148588
1.4245,-9.1087492732
1.4265,-9.098679912500002
1.4282,-9.08949041115
1.4299,-9.08012389065
1.4318,-9.071674237700002
1.4334,-9.0631323556
1.4352,-9.05353275835
1.4368,-9.044509425500001
1.4388,-9.034355620600001
1.4403,-9.02453046525
1.442,-9.014806667650001
1.4436,-9.005449610700001
1.4454,-8.995822897700002
1.4473,-8.986138123500002
1.4492,-8.977478482
1.4508,-8.968300276450002
1.4533,-8.96040939165
1.4549,-8.9512968064
1.4564,-8.9418915189
1.458,-8.9317664983
1.46,-8.923002004250002
1.462,-8.914542217400001
1.4637,-8.905345505800002
1.4654,-8.897035255250001
