# Temperature (K),delta_v_33/v_33
0.8184,5.126484503648767e-06
0.82,5.595662623232152e-06
0.8216,5.42572632102864e-06
0.8228,5.8370639017001394e-06
0.824,5.442369906388418e-06
0.8252,4.828060485983655e-06
0.8269,6.416967830739123e-06
0.8281,5.1200486143862306e-06
0.8294,4.887194892913083e-06
0.8305,4.633343681881627e-06
0.8317,3.911550462685359e-06
0.8333,5.330044370726065e-06
0.8345,4.284907734896772e-06
0.8357,5.160728178128877e-06
0.837,4.750698225578572e-06
0.8386,5.508861703704568e-06
0.8397,5.000615418608855e-06
0.841,4.850704103875894e-06
0.8422,5.442404056933331e-06
0.8434,6.2634339904197504e-06
0.845,5.508219589772068e-06
0.8463,5.812271927322583e-06
0.8475,5.427401086549418e-06
0.8491,6.511193078233976e-06
0.8503,7.1350923755860135e-06
0.8515,5.314817903405455e-06
0.8527,5.076847354363844e-06
0.8544,5.548260888358519e-06
0.8556,5.52018799764832e-06
0.8571,6.140077092124072e-06
0.8584,6.374919904606296e-06
0.8596,7.663291561135123e-06
0.8608,6.200910364460507e-06
0.8621,4.777216908219412e-06
0.8637,5.984860334899678e-06
0.8649,5.610868666030812e-06
0.8662,5.911169343930512e-06
0.8679,6.365264225688662e-06
0.8691,4.766303978096683e-06
0.8703,4.586828518207667e-06
0.8715,5.938251446860562e-06
0.8727,7.242890606275749e-06
0.8742,7.010014064518243e-06
0.8754,5.470100187550842e-06
0.8766,6.420790111913487e-06
0.8778,5.05382294223372e-06
0.879,4.9189188123375025e-06
0.8806,5.468336538437874e-06
0.8818,6.058162239291041e-06
0.8834,4.766980620288098e-06
0.8847,5.502537195072201e-06
0.8859,5.777813924612085e-06
0.8871,5.5892558764361996e-06
0.8886,4.383164042807389e-06
0.8899,6.431794786622658e-06
0.8911,6.5833732159438415e-06
0.8927,6.298432728819628e-06
0.8939,5.395404208701366e-06
0.8952,6.9143170944175995e-06
0.8967,6.242468414195736e-06
0.8979,6.217501779980873e-06
0.8991,5.599440906256856e-06
0.9003,4.225947229952835e-06
0.9015,4.161780766802844e-06
0.9031,6.949604609979084e-06
0.9043,6.471600254881403e-06
0.9055,7.860548728991115e-06
0.9067,6.932687619517878e-06
0.9083,6.935714918367142e-06
0.9094,4.8040539705102475e-06
0.9107,6.518109900535579e-06
0.9123,5.663309183157189e-06
0.9135,6.841436117187974e-06
0.9147,6.090760956257849e-06
0.9162,5.264083669304418e-06
0.9174,6.424739199153878e-06
0.9186,6.495852160380466e-06
0.9198,4.866681401116755e-06
0.9214,4.372676612415338e-06
0.9227,4.884097718621961e-06
0.9238,6.14802542167267e-06
0.925,6.447783666988345e-06
0.9261,6.9817828457908435e-06
0.9277,5.717517740820742e-06
0.929,5.486971473028806e-06
0.9305,6.682767734616008e-06
0.9317,5.4381746397296095e-06
0.933,6.11523777263885e-06
0.9342,5.309385525018105e-06
0.9354,7.01803722947236e-06
0.937,7.2544670899870315e-06
0.9382,6.51658816256515e-06
0.9394,6.12600737525476e-06
0.9407,7.122314717189325e-06
0.9423,5.158112603920065e-06
0.9435,6.155872732712295e-06
0.9446,6.307255214035309e-06
0.9459,5.6076865898390624e-06
0.9471,5.602164007161847e-06
0.9487,4.626045958945748e-06
0.9499,5.360788656010726e-06
0.9511,4.784759317888107e-06
0.9523,5.6294129915968635e-06
0.9539,5.5323085872613625e-06
0.9551,6.287580199877484e-06
0.9564,5.346050373637918e-06
0.958,5.546071205669064e-06
0.9592,6.5638732432194726e-06
0.9604,7.674609374599915e-06
0.9616,7.0594265993529715e-06
0.9632,5.243968350548731e-06
0.9644,7.543260810422825e-06
0.9657,5.9196240974761135e-06
0.9669,5.731597163512449e-06
0.9684,6.633388636104271e-06
0.9696,4.487509949725147e-06
0.9712,6.0501000892373925e-06
0.9726,7.253804225593096e-06
0.9737,6.108222289105339e-06
0.975,6.420055322954872e-06
0.9762,6.007812333247176e-06
0.9779,6.3166251910273645e-06
0.9791,6.529430898835796e-06
0.9803,7.848899460632911e-06
0.982,8.43759830118369e-06
0.9832,4.510259204290609e-06
0.9845,5.581945552670273e-06
0.9862,5.593630326882471e-06
0.9874,4.578528371582688e-06
0.9885,7.0415454155510775e-06
0.9898,7.5701755010178494e-06
0.9914,7.647917918486314e-06
0.9927,9.06169657396584e-06
0.9939,7.630642069278163e-06
0.9955,5.921474095497913e-06
0.9968,5.574993175643734e-06
0.998,6.438407936248876e-06
0.9992,8.24844920129135e-06
1.0009,7.463598090495945e-06
1.0021,5.826749984140487e-06
1.0032,5.262153970688851e-06
1.0045,7.264378834276981e-06
1.0062,7.557527545037259e-06
1.0073,4.6925603835413436e-06
1.0085,5.8366351338899695e-06
1.0102,6.153878117391606e-06
1.0114,7.211685394878327e-06
1.0127,6.588373562862906e-06
1.0139,6.8811210051265365e-06
1.0154,5.317555081727087e-06
1.0166,6.723440962400881e-06
1.0178,6.2951938541529515e-06
1.0191,5.980670418088402e-06
1.0207,5.577160794329733e-06
1.0223,6.281272676665254e-06
1.0235,5.787454053178483e-06
1.0251,6.274901264983489e-06
1.0263,7.194607775753756e-06
1.0276,7.711599985229652e-06
1.0287,8.524305532122634e-06
1.0303,7.342168581701033e-06
1.0315,6.840413017721432e-06
