# Temperature (K),delta_v_33/v_33
1.2042,1.398838333234475e-05
1.2037,1.3151291147847567e-05
1.2028,1.3210481279067317e-05
1.2019,1.3672278299503126e-05
1.2011,1.351315276773888e-05
1.2002,1.349104140179624e-05
1.1993,1.362265781668727e-05
1.1985,1.3548625938234783e-05
1.1979,1.3574802079719945e-05
1.197,1.3079395010461286e-05
1.1964,1.3008396568274809e-05
1.1957,1.3692048474099345e-05
1.1948,1.3622794924797942e-05
1.1942,1.3017370546602991e-05
1.1934,1.3059836191862441e-05
1.1927,1.3627671057609325e-05
1.1919,1.3650856588424357e-05
1.1913,1.3246093154213416e-05
1.1904,1.3335215303666612e-05
1.1898,1.3668481223690987e-05
1.1889,1.3658595288243555e-05
1.188,1.3674998464735457e-05
1.1872,1.29830006919015e-05
1.1865,1.3409579298818692e-05
1.1859,1.3205962088479759e-05
1.1851,1.3660511549942083e-05
1.1844,1.3214633473086377e-05
1.1836,1.3365886433675314e-05
1.183,1.3423314473620575e-05
1.1819,1.3286085468086704e-05
1.1812,1.3245588353242373e-05
1.1803,1.3260367018126792e-05
1.1797,1.3522389603118292e-05
1.1789,1.3827296888796806e-05
1.1782,1.350694181180567e-05
1.1773,1.3332324958454094e-05
1.1768,1.3633420096120037e-05
1.1759,1.37154329095361e-05
1.1748,1.3172422743200568e-05
1.1742,1.3776071661273715e-05
1.1737,1.3545026445232241e-05
1.1726,1.365255269273973e-05
1.1719,1.3059201127608002e-05
1.1711,1.3243453094862812e-05
1.1705,1.3688080404977037e-05
1.1698,1.3473648217936533e-05
1.1691,1.3476464782688794e-05
1.1684,1.3188930426896034e-05
1.1676,1.3201571797956163e-05
1.167,1.3309896240153629e-05
1.1664,1.3103632665149964e-05
1.1658,1.3922056435256025e-05
1.1649,1.369288633523084e-05
1.1643,1.3138773021625818e-05
1.1636,1.3133873136530604e-05
1.163,1.2865603876115108e-05
1.1621,1.3463241778504948e-05
1.1614,1.2941473748250248e-05
1.1608,1.293901853396777e-05
1.1602,1.3524244941476716e-05
1.1594,1.3216143064115218e-05
1.1587,1.3826627431893048e-05
1.158,1.3848013477317685e-05
1.1574,1.3113849327765054e-05
1.1565,1.3912883214257411e-05
1.1559,1.35055517564118e-05
1.1553,1.3333938087311907e-05
1.1546,1.3569825242116238e-05
1.1537,1.4073826095682988e-05
1.1531,1.3837874781864401e-05
1.1524,1.3351535243788081e-05
1.1518,1.2922004960560292e-05
1.151,1.302874213509914e-05
1.1504,1.3562615204822527e-05
1.1497,1.3421294295161488e-05
1.1491,1.3185979353868595e-05
1.1482,1.3830654000310878e-05
1.1475,1.3298865436112389e-05
1.1468,1.300942162644911e-05
1.1462,1.3942942753745427e-05
1.1454,1.3186326495173175e-05
1.1448,1.3032784399993316e-05
1.1441,1.3299675401460057e-05
1.1435,1.345698128354028e-05
1.1426,1.3292630281073027e-05
1.1419,1.3523130162428564e-05
1.1413,1.3392386432852876e-05
1.1407,1.323796929633041e-05
1.1398,1.2939808534311612e-05
1.1392,1.3516070463497922e-05
1.1386,1.324859542086934e-05
1.1379,1.3803678061849619e-05
1.1371,1.3616785772019215e-05
1.1364,1.3642957995333197e-05
1.1357,1.3656054206485674e-05
1.1352,1.3573099942766262e-05
1.1344,1.3119197350779186e-05
1.1337,1.3639446601517726e-05
1.1331,1.2600818148608196e-05
1.1324,1.3036172554035475e-05
1.1316,1.333596021375102e-05
1.1309,1.3974536603610869e-05
1.1303,1.3161275987691175e-05
1.1297,1.3094428202666149e-05
1.1289,1.3449325486541378e-05
1.1283,1.3273244850743311e-05
1.1277,1.3571916165465631e-05
1.127,1.3440143711765287e-05
1.1261,1.3701991285963928e-05
1.1255,1.3466092146966824e-05
1.1249,1.2818457385303946e-05
1.1243,1.3505375888650853e-05
1.1235,1.3305314207087617e-05
1.1229,1.373232815234679e-05
1.1222,1.3504918502240044e-05
1.1216,1.3335655723007041e-05
1.1207,1.3645296225376377e-05
1.1201,1.3532009466221229e-05
1.1196,1.3303016415339023e-05
1.1189,1.3636599512809868e-05
1.1181,1.3465778680185809e-05
1.1174,1.4009986690318582e-05
1.1168,1.3525457534662735e-05
1.1162,1.324020600041581e-05
1.1152,1.3735543190036804e-05
1.1146,1.3477482831268693e-05
1.114,1.3303357577747947e-05
1.1132,1.3275921515922256e-05
1.1125,1.2720138667375678e-05
1.1119,1.3482453912805879e-05
1.1112,1.3497448475384931e-05
1.1105,1.3639651725498678e-05
1.1099,1.3347930292408787e-05
1.1091,1.3411038966139029e-05
1.1084,1.3234782535828226e-05
1.1077,1.322261051116177e-05
1.1069,1.3076126161769665e-05
1.1063,1.3308679918320012e-05
1.1056,1.327465482105607e-05
1.105,1.3271698006485214e-05
1.1041,1.294196671084005e-05
1.1035,1.3572844311153542e-05
1.1028,1.3119397462237677e-05
1.1022,1.3353460305540882e-05
1.1014,1.3311126414344875e-05
1.1007,1.3823708816865492e-05
1.0998,1.323084436298511e-05
1.099,1.3497821959870782e-05
1.0984,1.3413189983694075e-05
1.0975,1.3339785499060668e-05
1.0967,1.3066594601102404e-05
1.0961,1.3241078116427434e-05
1.0952,1.2849876145889182e-05
1.0943,1.3468177901387835e-05
1.0937,1.3350196354248696e-05
1.0929,1.3633399395052332e-05
1.0922,1.382964838026287e-05
1.0915,1.3218209602765707e-05
1.0907,1.3880769191268374e-05
1.09,1.312790354330006e-05
1.0893,1.3233331039533053e-05
1.0884,1.3221773826086055e-05
1.0878,1.3568027141560202e-05
1.087,1.3193865948655278e-05
1.0863,1.3429386425661241e-05
1.0855,1.3070589828579758e-05
1.0845,1.3567673505234684e-05
1.0836,1.3293391329583372e-05
1.083,1.3696582461945048e-05
1.0825,1.3560004292567575e-05
1.0815,1.3471550297293228e-05
1.0806,1.3589652524109014e-05
1.0798,1.3466941245507218e-05
1.0789,1.3341509022674536e-05
1.078,1.3602470536997098e-05
1.0772,1.3406907194465098e-05
1.0764,1.33172824399976e-05
1.0756,1.3054783198541856e-05
1.0748,1.3566433910664735e-05
1.0739,1.3883920230679868e-05
1.0732,1.3582098196016849e-05
1.0721,1.3578934816546693e-05
1.0713,1.3003961713363551e-05
1.0704,1.3642331206621878e-05
1.0696,1.3478590081619616e-05
1.069,1.3516936947044836e-05
1.0681,1.3089228479518111e-05
1.0674,1.2959706380687012e-05
1.0665,1.299745198095288e-05
1.0658,1.3371366192924756e-05
1.065,1.3433889512710104e-05
1.0644,1.2727860696630532e-05
1.0635,1.3662634288400346e-05
1.0627,1.330706818846025e-05
1.0621,1.3211990133815221e-05
1.0613,1.358743268517075e-05
1.0607,1.3639536557838276e-05
1.0597,1.3088266577529007e-05
1.0588,1.3404064544719459e-05
1.0581,1.3837167737298115e-05
1.0572,1.3211607762098412e-05
1.0565,1.3374711523730584e-05
1.0556,1.345115664635251e-05
1.0549,1.3281274533111329e-05
1.0543,1.3168117207105817e-05
1.0537,1.3028306598160378e-05
1.0527,1.3086997538480194e-05
1.0518,1.3574106111347874e-05
1.0512,1.2982013897566344e-05
1.0504,1.2955397604216357e-05
1.0493,1.3463061224957683e-05
1.0485,1.3338854260718045e-05
1.0479,1.2976894352154556e-05
1.0469,1.2919859539670033e-05
1.0462,1.2771691740124779e-05
1.0454,1.3372825029262674e-05
1.0446,1.3588281940278394e-05
1.0438,1.275062409660107e-05
1.0432,1.3072880340147446e-05
1.0424,1.3600119761341745e-05
1.0415,1.3403913073920882e-05
1.0407,1.3137915546070089e-05
1.0398,1.2928027442480141e-05
1.0392,1.3147926595336674e-05
1.0385,1.3452837028669635e-05
1.0376,1.3278193228880844e-05
1.0367,1.3079678611226824e-05
1.0359,1.274832365764564e-05
1.035,1.3214176160856789e-05
1.0342,1.3072327537573655e-05
1.0336,1.3227549016041654e-05
1.0328,1.3321119760312077e-05
1.0319,1.3445231529977757e-05
1.0311,1.3267972256172022e-05
1.0302,1.3521682451735865e-05
1.0294,1.3370917181868718e-05
1.0288,1.2995044912810796e-05
1.028,1.3533822686048118e-05
1.0269,1.3105491618808777e-05
1.0259,1.278881043988568e-05
1.0249,1.3206702908597466e-05
1.0243,1.329616974736779e-05
1.0235,1.3254907722388823e-05
1.0223,1.3227160067188603e-05
1.0215,1.3353536126953344e-05
1.0206,1.3150841411763907e-05
1.02,1.320418216392349e-05
1.0193,1.2673728054560967e-05
1.0184,1.3072741768852165e-05
1.0176,1.3278016095601662e-05
1.017,1.320896948973628e-05
1.0162,1.3405579440880068e-05
1.0152,1.3092809262892297e-05
1.0145,1.3330899063219472e-05
1.0137,1.3260611003086686e-05
1.0131,1.2895690385587855e-05
1.0122,1.3274279189092548e-05
1.0114,1.2952500738301945e-05
1.0105,1.3533799061638289e-05
1.0096,1.2950249638901527e-05
1.0088,1.352449008603637e-05
1.0079,1.3579005917644738e-05
1.0071,1.3398998012033932e-05
1.0061,1.3375047457244392e-05
1.0052,1.2791885097174541e-05
1.0045,1.3453123758533391e-05
1.0037,1.33591443826945e-05
1.003,1.3134166176835191e-05
1.0022,1.30839422759761e-05
1.0015,1.294774977418276e-05
1.0007,1.3554884621029193e-05
0.9998,1.31694235839915e-05
0.9992,1.3229294128745846e-05
0.9982,1.2778970514524667e-05
0.9975,1.3301462132430698e-05
0.9964,1.3049423272504235e-05
0.9957,1.3058719174878757e-05
0.9949,1.3320857229172183e-05
0.994,1.2988332909494044e-05
0.993,1.32064481772228e-05
0.9921,1.3298724187061522e-05
0.9913,1.324627703815182e-05
0.9904,1.3073440439762571e-05
0.9896,1.3653161512996797e-05
0.9888,1.365326621138532e-05
0.9877,1.3348349347193421e-05
0.9869,1.3052144833720805e-05
0.9862,1.3393433850640091e-05
0.9854,1.3556799547193878e-05
0.9847,1.3021446914051932e-05
0.9839,1.2938985415980196e-05
0.983,1.2695971194677915e-05
0.9822,1.3016733415031098e-05
0.9813,1.3538401685722829e-05
0.9804,1.2678534350481305e-05
0.9795,1.2906384417009484e-05
0.9787,1.244470223683901e-05
0.9781,1.3597262842914384e-05
0.9773,1.3589112613031959e-05
0.9765,1.2908020550059978e-05
0.9754,1.3210794407909074e-05
0.9745,1.2685040203608039e-05
0.9736,1.3273267985601056e-05
0.973,1.3411318480763474e-05
0.9721,1.3707980581941176e-05
0.9713,1.317060860318522e-05
0.9704,1.3033572553330778e-05
0.9695,1.3610411648776481e-05
0.9686,1.3833892903440843e-05
0.9676,1.3107522246223638e-05
0.9666,1.3636848822829492e-05
0.9658,1.2977059615946844e-05
0.965,1.2654621551037274e-05
0.9641,1.3331713626893579e-05
0.9633,1.350150796430318e-05
0.9624,1.3591276885920576e-05
0.9615,1.3042474371135148e-05
0.9607,1.3222232635764781e-05
0.9596,1.3191907994382444e-05
0.9588,1.336675859609632e-05
0.9579,1.3705266672237927e-05
0.9572,1.3115148029493027e-05
0.9563,1.3338151403059035e-05
0.9554,1.3657331234207958e-05
0.9547,1.288968532012799e-05
0.9538,1.3987507450806825e-05
0.953,1.3487305207426296e-05
0.952,1.319779934623222e-05
0.9512,1.3111655165896961e-05
0.9505,1.2938366939510885e-05
0.9497,1.313404006629776e-05
0.9488,1.2877191264148893e-05
0.9481,1.3283740500656942e-05
0.9473,1.3268261328210627e-05
0.9467,1.2846627990876916e-05
0.9459,1.3457774437947015e-05
0.9452,1.3250207966140968e-05
0.9443,1.2953204007797915e-05
0.9435,1.3081797071306871e-05
0.9427,1.3795476110019396e-05
0.9418,1.3031424677729768e-05
0.9409,1.3209915334631741e-05
0.9403,1.3649541172588964e-05
0.9395,1.383423637574873e-05
0.9386,1.3311821352215091e-05
0.9378,1.3010950627377637e-05
0.9369,1.3369718638862882e-05
0.9361,1.3238630492879583e-05
0.9353,1.3658964928398628e-05
0.9345,1.3416487140847336e-05
0.9336,1.290496779253594e-05
0.933,1.3056853108733455e-05
0.9321,1.3271269705001092e-05
0.9315,1.3483271107842996e-05
0.9306,1.3359015022843272e-05
0.93,1.344009345066819e-05
0.9291,1.3335480920509749e-05
0.9283,1.3586501892631677e-05
0.9276,1.3592354749635091e-05
0.9268,1.3221082012041256e-05
0.9259,1.4040719805011597e-05
0.9251,1.3468544850083006e-05
0.9245,1.4021902756541308e-05
0.9236,1.3658064075625336e-05
0.9229,1.37680213516482e-05
0.9223,1.3647241520509741e-05
0.9215,1.366194351455879e-05
0.9205,1.310204378912502e-05
0.9197,1.3775962218731772e-05
0.919,1.3847175860054971e-05
0.9182,1.3984015707105355e-05
0.9175,1.3560150820654115e-05
0.9166,1.3915415047008513e-05
0.9158,1.3562282609246609e-05
0.9151,1.3797566704370676e-05
0.9142,1.3094224084446698e-05
0.9133,1.32826852997534e-05
0.9124,1.3531407683156822e-05
0.9118,1.3284444162167078e-05
0.911,1.3426478930374935e-05
0.9103,1.2889995394509037e-05
0.9096,1.3127432980745751e-05
0.909,1.285673916048564e-05
0.9081,1.2880993642031934e-05
0.9075,1.2640032598130752e-05
0.9067,1.3042671634771238e-05
0.9061,1.2719208486723069e-05
0.9054,1.2451031739605756e-05
0.9048,1.256883733988446e-05
0.9039,1.2809508223506159e-05
0.9032,1.2431104881095863e-05
0.9026,1.2324430799993578e-05
0.9019,1.2176719252216081e-05
0.901,1.2796761895412134e-05
0.9004,1.2211257382653854e-05
0.8997,1.2045364432801669e-05
0.8991,1.2177778348846952e-05
0.8983,1.1802077348906895e-05
0.8976,1.2143522137854378e-05
0.8971,1.1838353940766145e-05
