# T (K), alpha_33 (Neper/m)
2.486899999999999888e+00,4.897006975852491450e-03
2.486800000000000122e+00,1.012465577944112738e-01
2.486600000000000144e+00,2.037106731463609322e-01
2.486499999999999932e+00,2.967452002014852042e-01
2.486000000000000210e+00,2.193580425600885064e-01
2.485899999999999999e+00,5.298766911053007789e-01
2.485799999999999788e+00,3.988985186349509604e-01
2.485599999999999810e+00,-1.756812088051447063e-01
2.485399999999999832e+00,-5.482604859839739220e-01
2.485300000000000065e+00,-8.407751222700881044e-01
2.485199999999999854e+00,-9.178150774887399166e-01
2.485100000000000087e+00,-1.158290806107743265e+00
2.484900000000000109e+00,-3.264521121141115145e-01
2.484799999999999898e+00,1.083535067643879302e-01
2.484700000000000131e+00,3.948513637901669426e-01
2.484500000000000153e+00,8.855905157654433424e-01
2.484399999999999942e+00,1.128284772336428432e+00
2.484300000000000175e+00,8.717131788282586058e-01
2.483999999999999986e+00,7.409722703298484703e-01
2.483900000000000219e+00,5.845920985705106432e-01
2.483800000000000008e+00,3.029676167200250347e-01
2.483600000000000030e+00,5.133625577809652896e-01
2.483400000000000052e+00,5.966100237005775853e-01
2.483299999999999841e+00,5.827170518598450144e-01
2.483000000000000096e+00,5.367522665439992124e-01
2.482899999999999885e+00,9.674215470579383691e-01
2.482699999999999907e+00,1.020684008686885136e+00
2.482499999999999929e+00,5.727524246694883914e-01
2.482200000000000184e+00,-9.810142309788716375e-03
2.482099999999999973e+00,-2.116625663684317260e-01
2.481799999999999784e+00,-7.177319596498819010e-01
2.481700000000000017e+00,-9.916102750901245599e-01
2.481500000000000039e+00,-6.196335400898078660e-01
2.481300000000000061e+00,-5.516438606987321691e-01
2.481199999999999850e+00,-3.660710537433260470e-01
2.480900000000000105e+00,-7.942749361018286436e-01
2.480799999999999894e+00,-1.163481519473634762e+00
2.480700000000000127e+00,-1.446759669491939349e+00
2.480599999999999916e+00,-1.011928331896115196e+00
2.480500000000000149e+00,-7.138685449469903688e-01
