# B (T), Viscosity (1e-5 Pa*s)
1.969632304661851574e+00,6.544226800342411998e-02
1.976657912015758356e+00,3.234858573051402342e-02
1.983683519369665138e+00,1.728354426550574724e-02
1.990709126723571476e+00,2.515729933863247725e-02
1.997734734077478258e+00,1.662486822031260941e-02
2.004760341431385040e+00,4.580702586313075558e-02
2.011785948785291822e+00,4.934808995898477824e-02
2.018811556139198604e+00,2.484659037831865938e-02
2.025837163493105386e+00,2.328220203987112907e-02
2.032862770847012168e+00,-3.880319957263041967e-03
2.039888378200918950e+00,-7.943221903693309729e-03
2.046913985554825732e+00,-9.875466155309625682e-03
2.053939592908732514e+00,-2.000621733711439431e-03
2.060965200262639296e+00,-6.242232414564616479e-03
2.067990807616546078e+00,-3.035691826446934583e-02
2.075016414970452860e+00,-6.421616062205462785e-03
2.082042022324359642e+00,5.896853216241519646e-02
2.089067629678266425e+00,6.371469354548157937e-02
2.096093237032173207e+00,7.536676332109605581e-02
2.103118844386079989e+00,1.158918213000949826e-01
2.110144451739986771e+00,1.266615760558759685e-01
2.117170059093893553e+00,1.582435689967237880e-01
2.124195666447800335e+00,1.470645943688201895e-01
2.131221273801707117e+00,9.756667880578760721e-02
2.138246881155613899e+00,1.420959570593223649e-02
2.145272488509520237e+00,1.892505876166570775e-02
2.152298095863427019e+00,2.985679197219824957e-02
2.159323703217333801e+00,2.739466992270336507e-02
2.166349310571240583e+00,4.079716815595833129e-02
2.173374917925147365e+00,4.730207925206786346e-02
2.180400525279054147e+00,4.805196646573473701e-02
2.187426132632960929e+00,3.238530673060132509e-02
2.194451739986867711e+00,5.876352643601296527e-02
2.201477347340774493e+00,-1.222954781363993961e-03
2.208502954694681275e+00,-2.581562309489403989e-02
2.215528562048588057e+00,-1.905430964254149068e-02
2.222554169402494839e+00,-2.857964586732455667e-02
2.229579776756401621e+00,-3.179036667774945424e-02
2.236605384110308403e+00,-1.521790253993526507e-02
2.243630991464215185e+00,6.213597134053492656e-03
2.250656598818121967e+00,1.022725337210855529e-03
2.257682206172028749e+00,3.871238312706629103e-02
2.264707813525935087e+00,3.975131271295095220e-02
2.271733420879841869e+00,3.306052646192766953e-02
2.278759028233748651e+00,2.123421190560588132e-02
2.285784635587655433e+00,4.602910354870368148e-02
2.292810242941562215e+00,7.290556388537143551e-02
2.299835850295468997e+00,8.300826823491659623e-02
2.306861457649375780e+00,9.129071032289946819e-02
2.313887065003282562e+00,3.964527520802017119e-02
2.320912672357189344e+00,2.785814655302582335e-03
2.327938279711096126e+00,-1.651706950719934730e-02
2.334963887065002908e+00,-2.907796419898498949e-02
2.341989494418909690e+00,-2.250584232755164366e-02
2.349015101772816472e+00,-7.775198557324415442e-03
2.356040709126723254e+00,8.302204967422396192e-03
2.363066316480630036e+00,3.859611883459348851e-03
2.370091923834536818e+00,-5.829812005036987075e-04
2.377117531188443600e+00,-1.027404686256537698e-02
2.384143138542350382e+00,-1.813479668068633185e-02
2.391168745896257164e+00,5.977123720409572259e-03
2.398194353250163946e+00,-9.250847928559817121e-03
2.405219960604070728e+00,-2.612987576727468942e-03
2.412245567957977510e+00,-3.678605751800521212e-02
2.419271175311883848e+00,-5.131295997861493735e-02
2.426296782665790630e+00,-2.610024969387183744e-02
2.433322390019697412e+00,-5.852279136049561015e-02
2.440347997373604194e+00,-3.290074460786931304e-02
2.447373604727510976e+00,-1.282717237736496867e-02
2.454399212081417758e+00,-3.539976624824940719e-03
2.461424819435324540e+00,-2.334742515142771595e-04
2.468450426789231322e+00,-2.073240244919905689e-02
2.475476034143138104e+00,-4.966823352315673928e-02
2.482501641497044886e+00,-5.662123706801915762e-02
2.489527248850951668e+00,-3.027572849233520214e-02
2.496552856204858450e+00,3.716824196832485550e-02
2.503578463558765232e+00,3.958699654174296229e-02
2.510604070912672015e+00,4.989780105516432307e-02
2.517629678266578797e+00,6.058031105075908224e-03
2.524655285620485579e+00,-3.464173790766089667e-02
2.531680892974392361e+00,2.180034417682332609e-02
2.538706500328299143e+00,3.447304361236501469e-02
2.545732107682205925e+00,9.951612040638739554e-02
2.552757715036112707e+00,9.298051721574460138e-02
2.559783322390019489e+00,6.475356910624041618e-02
2.566808929743926271e+00,4.190423926270268190e-02
2.573834537097833053e+00,1.046331299792696741e-02
2.580860144451739391e+00,2.664520375507026945e-02
2.587885751805646173e+00,2.699931728876149920e-02
2.594911359159552955e+00,2.881779103865628189e-02
2.601936966513459737e+00,3.441861446804132807e-02
2.608962573867366519e+00,2.361833776865986806e-02
2.615988181221273301e+00,-1.327057105881349021e-03
2.623013788575180083e+00,-5.873261110294149094e-03
2.630039395929086865e+00,-6.971599682861040481e-03
2.637065003282993647e+00,-1.269472159656719404e-02
2.644090610636900429e+00,-1.841784351027334760e-02
2.651116217990807211e+00,-2.710097381375713849e-02
2.658141825344713993e+00,-1.658017492296269199e-02
2.665167432698620775e+00,1.969038938962977547e-02
2.672193040052527557e+00,4.498923520191766556e-02
2.679218647406434339e+00,4.596457434649429963e-02
2.686244254760341121e+00,3.641911460027649067e-02
2.693269862114247903e+00,1.123889432260668326e-03
2.700295469468154685e+00,-2.319961723545057794e-02
2.707321076822061467e+00,-2.319961723545057794e-02
2.714346684175968250e+00,-6.291450489500875244e-03
2.721372291529875032e+00,3.584288374547835165e-02
2.728397898883781814e+00,6.257886715695981650e-02
2.735423506237688152e+00,8.018292274672063347e-02
2.742449113591594934e+00,8.039405650902729794e-02
2.749474720945501716e+00,6.754593863760120775e-02
2.756500328299408498e+00,6.654432255088574277e-02
2.763525935653315280e+00,7.055020363418701423e-02
2.770551543007222062e+00,5.725483439138196601e-02
2.777577150361128844e+00,3.179254929328013957e-02
2.784602757715035626e+00,9.882113233965456045e-03
2.791628365068942408e+00,-5.506575806198247582e-04
2.798653972422849190e+00,2.171370850778311240e-02
2.805679579776755972e+00,4.421228818307477992e-02
2.812705187130662754e+00,2.604872364447239144e-02
2.819730794484569536e+00,5.319245128445199144e-04
2.826756401838476318e+00,-3.485791011323489952e-02
2.833782009192383100e+00,-7.036267542460386548e-02
2.840807616546289882e+00,-6.122783430717688297e-02
2.847833223900196664e+00,-5.209299318974990739e-02
2.854858831254103446e+00,-3.954418582489836742e-02
2.861884438608010228e+00,-2.711466136164602386e-02
2.868910045961917010e+00,-1.866259911329555890e-02
2.875935653315823792e+00,-1.021053686494509567e-02
2.882961260669730574e+00,-1.021053686494509567e-02
2.889986868023636912e+00,-1.021053686494509567e-02
2.897012475377543694e+00,-1.021053686494509567e-02
