# Temperature (K), \delta v/v
5.156200000000000117e+00,-2.123335592525178999e-04
5.168099999999999916e+00,-2.140090835036489861e-04
5.179700000000000415e+00,-2.149048277480369439e-04
5.191600000000000215e+00,-2.174237711457723281e-04
5.204299999999999926e+00,-2.168248170863454523e-04
5.216899999999999871e+00,-2.217890017712263002e-04
5.226799999999999891e+00,-2.224267324227445389e-04
5.237199999999999633e+00,-2.245504492467300501e-04
5.245899999999999785e+00,-2.286742384414934375e-04
5.259199999999999875e+00,-2.292207213063086858e-04
5.270100000000000229e+00,-2.308919444722931484e-04
5.281799999999999606e+00,-2.334225162445617227e-04
5.291599999999999859e+00,-2.344200603235723315e-04
5.304700000000000415e+00,-2.389488516468506467e-04
5.314099999999999824e+00,-2.394013077309895422e-04
5.325999999999999623e+00,-2.422639786600678830e-04
5.335799999999999876e+00,-2.474679593813983473e-04
5.349700000000000344e+00,-2.485346820688783356e-04
5.360299999999999621e+00,-2.500623430868612268e-04
5.371299999999999741e+00,-2.515965564471855107e-04
5.380799999999999805e+00,-2.538083533988759791e-04
5.396799999999999820e+00,-2.568992958821300437e-04
5.407700000000000173e+00,-2.612542498901184612e-04
5.416800000000000281e+00,-2.610646875338110584e-04
5.425099999999999589e+00,-2.632909171947252886e-04
5.440599999999999881e+00,-2.667487106473950711e-04
5.450899999999999856e+00,-2.726695032680324059e-04
5.459200000000000053e+00,-2.711428948719386898e-04
5.469000000000000306e+00,-2.789729257367502217e-04
5.481600000000000250e+00,-2.768964365739250144e-04
5.488699999999999690e+00,-2.796302736411075533e-04
5.497600000000000264e+00,-2.859061303170098382e-04
5.507799999999999585e+00,-2.881272076666014726e-04
5.519400000000000084e+00,-2.885289696620179701e-04
5.526299999999999990e+00,-2.929554141107540053e-04
5.535599999999999632e+00,-2.919220861020609343e-04
5.543000000000000149e+00,-2.952726646907548173e-04
5.551899999999999835e+00,-3.002778267156809371e-04
5.560800000000000409e+00,-3.035298471849132325e-04
5.570299999999999585e+00,-3.047212018381340818e-04
5.579399999999999693e+00,-3.064064236057637003e-04
5.590499999999999581e+00,-3.085513692299005138e-04
5.597699999999999676e+00,-3.132620052745198856e-04
5.604700000000000237e+00,-3.189677547807071435e-04
5.613000000000000433e+00,-3.206536957408561567e-04
5.626100000000000101e+00,-3.216867232254616246e-04
5.636099999999999888e+00,-3.259239202560205192e-04
5.645400000000000418e+00,-3.263095836311377717e-04
5.655700000000000394e+00,-3.299583011750172588e-04
5.667900000000000382e+00,-3.315028880936808013e-04
5.676899999999999835e+00,-3.339712230273374476e-04
5.688600000000000101e+00,-3.378563388037883410e-04
5.700300000000000367e+00,-3.413648206113769528e-04
5.712900000000000311e+00,-3.440925636465192133e-04
5.723099999999999632e+00,-3.478522479523052835e-04
5.735199999999999854e+00,-3.528991521427636080e-04
5.746699999999999697e+00,-3.539104236005069710e-04
5.758499999999999730e+00,-3.583660433349433174e-04
5.769400000000000084e+00,-3.626129433448474449e-04
5.781699999999999839e+00,-3.660714808825863407e-04
5.793099999999999916e+00,-3.691151481734818315e-04
5.811399999999999899e+00,-3.722407913500102336e-04
