# B (T), Viscosity (1e-5 Pa*s)
2.797923039768153153e-01,-1.525717128002829562e-02
2.816325873450329920e-01,-1.525717128002829562e-02
2.834728707132506687e-01,-1.525717128002829562e-02
2.853131540814683453e-01,-1.525717128002829562e-02
2.871534374496860220e-01,-1.525717128002829562e-02
2.889937208179037542e-01,-1.525717128002829562e-02
2.908340041861213754e-01,-1.525717128002829562e-02
2.926742875543391076e-01,-1.525717128002829562e-02
2.945145709225567288e-01,-1.525717128002829562e-02
2.963548542907744610e-01,-1.525717128002829562e-02
2.981951376589920821e-01,-1.525717128002829562e-02
3.000354210272098143e-01,-1.525717128002829562e-02
3.018757043954274355e-01,-1.525717128002829562e-02
3.037159877636451677e-01,-1.525717128002829562e-02
3.055562711318627889e-01,-1.525717128002829562e-02
3.073965545000805211e-01,-1.525717128002829562e-02
3.092368378682981422e-01,-1.525717128002829562e-02
3.110771212365158744e-01,-1.525717128002829562e-02
3.129174046047334956e-01,-1.525717128002829562e-02
3.147576879729512278e-01,-1.525717128002829562e-02
3.165979713411688490e-01,-1.525717128002829562e-02
3.184382547093865812e-01,-1.525717128002829562e-02
3.202785380776042579e-01,-1.525717128002829562e-02
3.221188214458219345e-01,-1.525717128002829562e-02
3.239591048140396112e-01,-1.525717128002829562e-02
3.257993881822572879e-01,-1.525717128002829562e-02
3.276396715504749646e-01,-1.525717128002829562e-02
3.294799549186926413e-01,-5.432554235552419612e-03
3.313202382869103180e-01,1.043722712842624304e-03
3.331605216551279947e-01,1.054046511022956566e-02
3.350008050233456713e-01,1.425768642282599502e-02
3.368410883915633480e-01,8.336617077883891336e-03
3.386813717597810247e-01,-4.294572375625319016e-03
3.405216551279987014e-01,-4.294572375625319016e-03
3.423619384962163781e-01,-4.294572375625319016e-03
3.442022218644340548e-01,-4.294572375625319016e-03
3.460425052326517315e-01,-4.294572375625319016e-03
3.478827886008694081e-01,-4.294572375625319016e-03
3.497230719690870848e-01,-4.294572375625319016e-03
3.515633553373047615e-01,-4.294572375625319016e-03
3.534036387055224382e-01,-4.294572375625319016e-03
3.552439220737401149e-01,-4.294572375625319016e-03
3.570842054419577916e-01,-4.294572375625319016e-03
3.589244888101754682e-01,-4.294572375625319016e-03
3.607647721783931449e-01,-4.294572375625319016e-03
3.626050555466108216e-01,-4.294572375625319016e-03
3.644453389148284983e-01,-4.294572375625319016e-03
3.662856222830461750e-01,5.819496246863495315e-04
3.681259056512638517e-01,1.346572235252414297e-02
3.699661890194815284e-01,1.791115252024037471e-02
3.718064723876992050e-01,7.239280918287950735e-03
3.736467557559169372e-01,1.617891876569711122e-03
3.754870391241346139e-01,1.104284208243578577e-04
3.773273224923522906e-01,1.921197690299804219e-03
3.791676058605699673e-01,7.147656775506509332e-03
3.810078892287876440e-01,1.479413005598100711e-02
3.828481725970053207e-01,2.280296254380977106e-02
3.846884559652229973e-01,1.961020850133458199e-02
3.865287393334406740e-01,9.005948941218325232e-03
3.883690227016583507e-01,-3.594429698667089140e-03
3.902093060698760274e-01,-3.594429698667089140e-03
3.920495894380937041e-01,9.666340765845214005e-05
3.938898728063113808e-01,6.953176577934865044e-03
3.957301561745290575e-01,1.245570811346022148e-02
3.975704395427467341e-01,1.983229257887201072e-02
3.994107229109644108e-01,3.404716975460098105e-02
4.012510062791820875e-01,5.175837323319917166e-02
4.030912896473997642e-01,7.615369918010790606e-02
4.049315730156174409e-01,1.072596532682932868e-01
4.067718563838351176e-01,1.449532106145903498e-01
4.086121397520527943e-01,1.846217337871383091e-01
4.104524231202704709e-01,2.114218020073554416e-01
4.122927064884881476e-01,2.267049482670624172e-01
4.141329898567058243e-01,2.336346542592548647e-01
4.159732732249235010e-01,2.318327300852521256e-01
4.178135565931411777e-01,2.140120858584575736e-01
4.196538399613588544e-01,1.914208033105000706e-01
4.214941233295765310e-01,1.714767102696288237e-01
4.233344066977942077e-01,1.494453740719108581e-01
4.251746900660118844e-01,1.187273155045297235e-01
4.270149734342295611e-01,8.513708346648003744e-02
4.288552568024472378e-01,4.931969374979544574e-02
4.306955401706649145e-01,1.140225884681835174e-02
4.325358235388825912e-01,-2.204779661982555344e-02
4.343761069071002678e-01,-2.204779661982555344e-02
4.362163902753179445e-01,-2.204779661982555344e-02
4.380566736435356212e-01,-2.204779661982555344e-02
4.398969570117532979e-01,-2.204779661982555344e-02
4.417372403799710301e-01,-2.204779661982555344e-02
4.435775237481887068e-01,-2.204779661982555344e-02
4.454178071164063835e-01,-2.204779661982555344e-02
4.472580904846240601e-01,-2.204779661982555344e-02
4.490983738528417368e-01,-2.204779661982555344e-02
4.509386572210594135e-01,-2.204779661982555344e-02
4.527789405892770902e-01,-2.204779661982555344e-02
4.546192239574947669e-01,-2.204779661982555344e-02
4.564595073257124436e-01,-2.204779661982555344e-02
4.582997906939301203e-01,-2.204779661982555344e-02
4.601400740621477969e-01,-2.204779661982555344e-02
4.619803574303654736e-01,-2.204779661982555344e-02
4.638206407985831503e-01,-2.204779661982555344e-02
4.656609241668008270e-01,-2.204779661982555344e-02
4.675012075350185037e-01,-2.204779661982555344e-02
4.693414909032361804e-01,-2.204779661982555344e-02
4.711817742714538571e-01,-2.204779661982555344e-02
4.730220576396715337e-01,-2.204779661982555344e-02
4.748623410078892104e-01,-2.204779661982555344e-02
4.767026243761068871e-01,-2.204779661982555344e-02
4.785429077443245638e-01,-2.204779661982555344e-02
4.803831911125422405e-01,-2.204779661982555344e-02
4.822234744807599172e-01,-2.204779661982555344e-02
4.840637578489775938e-01,-2.204779661982555344e-02
4.859040412171952705e-01,-2.204779661982555344e-02
4.877443245854129472e-01,-2.204779661982555344e-02
4.895846079536306239e-01,-2.204779661982555344e-02
4.914248913218483006e-01,-2.204779661982555344e-02
4.932651746900659773e-01,-2.204779661982555344e-02
4.951054580582836540e-01,-2.204779661982555344e-02
4.969457414265013306e-01,-2.204779661982555344e-02
4.987860247947190073e-01,-2.204779661982555344e-02
5.006263081629367395e-01,-2.204779661982555344e-02
5.024665915311543607e-01,-2.204779661982555344e-02
5.043068748993719819e-01,-2.204779661982555344e-02
5.061471582675897141e-01,-2.204779661982555344e-02
5.079874416358074463e-01,-2.204779661982555344e-02
5.098277250040250674e-01,-2.204779661982555344e-02
5.116680083722427996e-01,-2.204779661982555344e-02
5.135082917404605318e-01,-2.204779661982555344e-02
5.153485751086781530e-01,-2.204779661982555344e-02
5.171888584768957742e-01,-2.204779661982555344e-02
5.190291418451135064e-01,-2.204779661982555344e-02
5.208694252133312386e-01,-2.204779661982555344e-02
5.227097085815488597e-01,-2.204779661982555344e-02
5.245499919497664809e-01,-2.204779661982555344e-02
5.263902753179842131e-01,-2.204779661982555344e-02
5.282305586862019453e-01,-2.204779661982555344e-02
5.300708420544195665e-01,-2.204779661982555344e-02
5.319111254226371877e-01,-2.204779661982555344e-02
5.337514087908549199e-01,-2.204779661982555344e-02
5.355916921590726520e-01,-2.204779661982555344e-02
5.374319755272902732e-01,-2.204779661982555344e-02
5.392722588955078944e-01,-2.204779661982555344e-02
5.411125422637256266e-01,-2.204779661982555344e-02
5.429528256319433588e-01,-2.204779661982555344e-02
5.447931090001609800e-01,-2.204779661982555344e-02
5.466333923683786011e-01,-2.000120190991990302e-02
5.484736757365963333e-01,-1.091230609804042873e-03
5.503139591048140655e-01,2.079339743251919573e-02
5.521542424730316867e-01,5.196439698162323706e-02
5.539945258412493079e-01,8.415879878411652859e-02
5.558348092094670401e-01,1.032849223002058475e-01
5.576750925776847723e-01,9.644121743228878385e-02
5.595153759459023934e-01,7.505978891687910270e-02
5.613556593141200146e-01,4.515837639048556063e-02
5.631959426823377468e-01,1.177817944919993219e-02
5.650362260505554790e-01,-2.528449572336305060e-02
5.668765094187731002e-01,-2.528449572336305060e-02
5.687167927869907214e-01,-2.528449572336305060e-02
5.705570761552085646e-01,-2.528449572336305060e-02
5.723973595234261857e-01,-2.528449572336305060e-02
5.742376428916438069e-01,-2.528449572336305060e-02
5.760779262598614281e-01,-2.528449572336305060e-02
5.779182096280792713e-01,-2.528449572336305060e-02
5.797584929962968925e-01,-2.528449572336305060e-02
5.815987763645145137e-01,-2.528449572336305060e-02
5.834390597327321348e-01,-2.528449572336305060e-02
5.852793431009499781e-01,-2.528449572336305060e-02
5.871196264691675992e-01,-2.528449572336305060e-02
5.889599098373852204e-01,-2.528449572336305060e-02
5.908001932056028416e-01,-2.528449572336305060e-02
5.926404765738206848e-01,-2.528449572336305060e-02
5.944807599420383060e-01,-2.528449572336305060e-02
5.963210433102559271e-01,-2.528449572336305060e-02
5.981613266784735483e-01,-2.528449572336305060e-02
6.000016100466913915e-01,-2.528449572336305060e-02
6.018418934149090127e-01,-2.528449572336305060e-02
6.036821767831266339e-01,-2.528449572336305060e-02
6.055224601513442551e-01,-2.528449572336305060e-02
6.073627435195620983e-01,-2.528449572336305060e-02
6.092030268877797194e-01,-2.528449572336305060e-02
6.110433102559973406e-01,-2.528449572336305060e-02
6.128835936242151838e-01,-2.528449572336305060e-02
6.147238769924328050e-01,-2.528449572336305060e-02
6.165641603606504262e-01,-2.528449572336305060e-02
6.184044437288680474e-01,-2.528449572336305060e-02
6.202447270970858906e-01,-2.528449572336305060e-02
6.220850104653035118e-01,-2.528449572336305060e-02
6.239252938335211329e-01,-2.528449572336305060e-02
6.257655772017387541e-01,-2.528449572336305060e-02
6.276058605699565973e-01,-2.528449572336305060e-02
6.294461439381742185e-01,-2.528449572336305060e-02
6.312864273063918397e-01,-2.528449572336305060e-02
6.331267106746094608e-01,-2.528449572336305060e-02
6.349669940428273041e-01,-2.528449572336305060e-02
6.368072774110449252e-01,-2.528449572336305060e-02
