# B (T), A_asym/A_sym
1.435686145764937471e+00,-1.728997671166558961e-02
1.442711753118844253e+00,-2.208143628597353247e-02
1.449737360472751035e+00,-2.678748867774189898e-02
1.456762967826657817e+00,-2.823606047354400989e-02
1.463788575180564600e+00,-3.367369580375353250e-02
1.470814182534471382e+00,-2.786406158219276175e-02
1.477839789888378164e+00,-1.666119011600991628e-02
1.484865397242284946e+00,-8.893020119159161449e-03
1.491891004596191728e+00,-1.161294286746597602e-03
1.498916611950098510e+00,8.166530378154110426e-03
1.505942219304005292e+00,1.502920536603940573e-02
1.512967826657912074e+00,2.578054060510173717e-02
1.519993434011818412e+00,3.640607292425095121e-02
1.527019041365725194e+00,4.299721789130590832e-02
1.534044648719631976e+00,5.334102423792239089e-02
1.541070256073538758e+00,5.118072034888394850e-02
1.548095863427445540e+00,4.641731977914652363e-02
1.555121470781352322e+00,5.113315906643790126e-02
1.562147078135259104e+00,5.836152819580114198e-02
1.569172685489165886e+00,6.311968147417497399e-02
1.576198292843072668e+00,6.245109124059686906e-02
1.583223900196979450e+00,6.624753411391734459e-02
1.590249507550886232e+00,7.553852214004065646e-02
1.597275114904793014e+00,8.820985481761219049e-02
1.604300722258699796e+00,9.541545459721181843e-02
1.611326329612606578e+00,8.982969647271098201e-02
1.618351936966513360e+00,8.263494305703426857e-02
1.625377544320420142e+00,8.319505994264908555e-02
1.632403151674326924e+00,8.041711423465185138e-02
1.639428759028233706e+00,7.116730857733581661e-02
1.646454366382140488e+00,6.805106910509445273e-02
1.653479973736047270e+00,6.278127532851734971e-02
1.660505581089954052e+00,5.844589046693501877e-02
1.667531188443860835e+00,5.569770876592684827e-02
1.674556795797767617e+00,5.076731614020350142e-02
1.681582403151673955e+00,5.371807523637395221e-02
1.688608010505580737e+00,5.720924253129293369e-02
1.695633617859487519e+00,5.498957671214727699e-02
1.702659225213394301e+00,4.901451947862325159e-02
1.709684832567301083e+00,4.656315936223194563e-02
1.716710439921207865e+00,5.345140134456921599e-02
1.723736047275114647e+00,5.590334317145072285e-02
1.730761654629021429e+00,5.452220911246674628e-02
1.737787261982928211e+00,4.478235231337224925e-02
1.744812869336834993e+00,3.516346858436295020e-02
1.751838476690741775e+00,3.770732888932008114e-02
1.758864084044648557e+00,3.477292072042836163e-02
1.765889691398555339e+00,3.096353601096604041e-02
1.772915298752462121e+00,2.721159873101903354e-02
1.779940906106368903e+00,3.608147123272316403e-02
1.786966513460275685e+00,3.127337618577563649e-02
1.793992120814182467e+00,2.536377425098967561e-02
1.801017728168089249e+00,2.604857686309736131e-02
1.808043335521996031e+00,2.380946473470604494e-02
1.815068942875902813e+00,2.136380200455187742e-02
1.822094550229809595e+00,2.255921853468534008e-02
1.829120157583716377e+00,2.382295712796524481e-02
1.836145764937622715e+00,3.213444317642420028e-02
1.843171372291529497e+00,4.082170000148478001e-02
1.850196979645436279e+00,4.070916097707038411e-02
1.857222586999343061e+00,4.129598496914909517e-02
1.864248194353249843e+00,4.201452047600164746e-02
1.871273801707156625e+00,3.535878277407512871e-02
1.878299409061063407e+00,3.926991837667173635e-02
1.885325016414970190e+00,4.183520202802492455e-02
1.892350623768876972e+00,3.350259528349877614e-02
1.899376231122783754e+00,3.655510920217018567e-02
1.906401838476690536e+00,4.305337967598284188e-02
1.913427445830597318e+00,4.502397777886647801e-02
1.920453053184504100e+00,3.336964002792110195e-02
1.927478660538410882e+00,4.214944822189160833e-02
1.934504267892317664e+00,4.367750628292608323e-02
1.941529875246224446e+00,4.389277425546055794e-02
1.948555482600131228e+00,5.302975132879635817e-02
1.955581089954038010e+00,5.050659414887844617e-02
1.962606697307944792e+00,4.933775876731006510e-02
1.969632304661851574e+00,4.907762721474892564e-02
1.976657912015758356e+00,4.407219671525781923e-02
1.983683519369665138e+00,3.986229337929701050e-02
1.990709126723571476e+00,4.020004786667425584e-02
1.997734734077478258e+00,4.277848970609520601e-02
2.004760341431385040e+00,3.899607851185719204e-02
2.011785948785291822e+00,4.775763792591487811e-02
2.018811556139198604e+00,5.088850051720292950e-02
2.025837163493105386e+00,6.432125265607249731e-02
2.032862770847012168e+00,7.505619024711843168e-02
2.039888378200918950e+00,7.473213066404649219e-02
2.046913985554825732e+00,6.652247030072769296e-02
2.053939592908732514e+00,7.213691230454979952e-02
2.060965200262639296e+00,7.817762235645325797e-02
2.067990807616546078e+00,7.292185771377796000e-02
2.075016414970452860e+00,6.954981697168320653e-02
2.082042022324359642e+00,6.920599687565007208e-02
2.089067629678266425e+00,6.120382686700999442e-02
2.096093237032173207e+00,6.475026022239735446e-02
2.103118844386079989e+00,6.401347627148111508e-02
2.110144451739986771e+00,6.609697285940240030e-02
2.117170059093893553e+00,7.045275932592286183e-02
2.124195666447800335e+00,7.103514758054794986e-02
2.131221273801707117e+00,7.183052453890111100e-02
2.138246881155613899e+00,6.746222004088837931e-02
2.145272488509520237e+00,6.991677687287883858e-02
2.152298095863427019e+00,6.982647052319596037e-02
2.159323703217333801e+00,6.079500272050515630e-02
2.166349310571240583e+00,4.477707905707201119e-02
2.173374917925147365e+00,3.986650243637646085e-02
2.180400525279054147e+00,4.092454687604658164e-02
2.187426132632960929e+00,4.498007965330740737e-02
2.194451739986867711e+00,4.108959313930306972e-02
2.201477347340774493e+00,3.877361701934979588e-02
2.208502954694681275e+00,4.107103785064689788e-02
2.215528562048588057e+00,5.474939293933652612e-02
2.222554169402494839e+00,5.657615959887374313e-02
2.229579776756401621e+00,5.625253999820107459e-02
2.236605384110308403e+00,6.322497812306036857e-02
2.243630991464215185e+00,7.089853548563050667e-02
2.250656598818121967e+00,7.632820496536976695e-02
2.257682206172028749e+00,7.226487163259083524e-02
2.264707813525935087e+00,6.702258469229517568e-02
2.271733420879841869e+00,6.823677299123033502e-02
2.278759028233748651e+00,6.554028921749172065e-02
2.285784635587655433e+00,6.177004142810382098e-02
2.292810242941562215e+00,4.925565064059420073e-02
2.299835850295468997e+00,4.011914527170657579e-02
2.306861457649375780e+00,3.618188471932476391e-02
2.313887065003282562e+00,3.255972227135450758e-02
2.320912672357189344e+00,3.052830308606202178e-02
2.327938279711096126e+00,2.860961451498166691e-02
2.334963887065002908e+00,2.204760650767909405e-02
2.341989494418909690e+00,1.491287373399407395e-02
2.349015101772816472e+00,4.162000318632369522e-03
2.356040709126723254e+00,-5.088292854480258587e-03
2.363066316480630036e+00,-1.278504493752302684e-02
2.370091923834536818e+00,-1.480033412862760515e-02
2.377117531188443600e+00,-2.050307548473633001e-02
2.384143138542350382e+00,-2.927401260823357665e-02
2.391168745896257164e+00,-3.757130202545710257e-02
2.398194353250163946e+00,-3.807230401009509962e-02
2.405219960604070728e+00,-3.808502036398042634e-02
2.412245567957977510e+00,-4.070087673317120819e-02
2.419271175311883848e+00,-4.163094601448222298e-02
2.426296782665790630e+00,-4.411426608960010431e-02
2.433322390019697412e+00,-3.820403537129306998e-02
2.440347997373604194e+00,-2.912724624408011623e-02
2.447373604727510976e+00,-2.559526342496457052e-02
2.454399212081417758e+00,-2.776296099599666334e-02
2.461424819435324540e+00,-3.009385132045134040e-02
2.468450426789231322e+00,-3.606938622907867459e-02
2.475476034143138104e+00,-3.847352581158762497e-02
2.482501641497044886e+00,-2.909223795851898636e-02
2.489527248850951668e+00,-2.035231894747971393e-02
2.496552856204858450e+00,-2.082115893031380796e-02
2.503578463558765232e+00,-2.322895064190647063e-02
2.510604070912672015e+00,-2.682491302591009930e-02
2.517629678266578797e+00,-3.010971532383177260e-02
2.524655285620485579e+00,-3.565484462299160079e-02
2.531680892974392361e+00,-3.809813880374953582e-02
2.538706500328299143e+00,-3.920292959732497168e-02
2.545732107682205925e+00,-4.827242093964423386e-02
