# B (T), A_asym/A(0)
4.306955401706649145e-01,-1.506274165663817237e-03
4.325358235388825912e-01,-1.854720321121060972e-03
4.343761069071002678e-01,-2.218075198605955808e-03
4.362163902753179445e-01,-2.589874391853481776e-03
4.380566736435356212e-01,-2.947847018844505784e-03
4.398969570117532979e-01,-3.272528091997859660e-03
4.417372403799710301e-01,-3.561430352764078777e-03
4.435775237481887068e-01,-3.856251303855081497e-03
4.454178071164063835e-01,-4.140253012176029271e-03
4.472580904846240601e-01,-4.394916335375326048e-03
4.490983738528417368e-01,-4.615403406139422134e-03
4.509386572210594135e-01,-4.822438264336090415e-03
4.527789405892770902e-01,-5.024880929007716039e-03
4.546192239574947669e-01,-5.182831030702892208e-03
4.564595073257124436e-01,-5.272342442710576706e-03
4.582997906939301203e-01,-5.303557667276697848e-03
4.601400740621477969e-01,-5.270063911329124322e-03
4.619803574303654736e-01,-5.174577500119016162e-03
4.638206407985831503e-01,-5.027044992146830447e-03
4.656609241668008270e-01,-4.846883652866153247e-03
4.675012075350185037e-01,-4.630280992672319851e-03
4.693414909032361804e-01,-4.356423370059492491e-03
4.711817742714538571e-01,-4.052450927714910944e-03
4.730220576396715337e-01,-3.735096843503604019e-03
4.748623410078892104e-01,-3.426076977801478362e-03
4.767026243761068871e-01,-3.130122721356691767e-03
4.785429077443245638e-01,-2.855903912290769751e-03
4.803831911125422405e-01,-2.631808065397259894e-03
4.822234744807599172e-01,-2.464511447090307443e-03
4.840637578489775938e-01,-2.349659828705957191e-03
4.859040412171952705e-01,-2.280796579057629402e-03
4.877443245854129472e-01,-2.268255150279530844e-03
4.895846079536306239e-01,-2.311686375772608205e-03
4.914248913218483006e-01,-2.406373809988091635e-03
4.932651746900659773e-01,-2.566323056108483439e-03
4.951054580582836540e-01,-2.787843108315397368e-03
4.969457414265013306e-01,-3.035777665235050993e-03
4.987860247947190073e-01,-3.294081657069169392e-03
5.006263081629367395e-01,-3.547594374166118062e-03
5.024665915311543607e-01,-3.792495302409951141e-03
5.043068748993719819e-01,-4.037857550791010622e-03
5.061471582675897141e-01,-4.283076116087451528e-03
5.079874416358074463e-01,-4.519957129608333408e-03
5.098277250040250674e-01,-4.752057166641454611e-03
5.116680083722427996e-01,-4.991650674667577267e-03
5.135082917404605318e-01,-5.234609903114562611e-03
5.153485751086781530e-01,-5.480285720873412716e-03
5.171888584768957742e-01,-5.719033064362469450e-03
5.190291418451135064e-01,-5.914340980028830359e-03
5.208694252133312386e-01,-6.056288614656192212e-03
5.227097085815488597e-01,-6.157841308740390728e-03
5.245499919497664809e-01,-6.226423171552001798e-03
5.263902753179842131e-01,-6.258714379780793043e-03
5.282305586862019453e-01,-6.251968839115789982e-03
5.300708420544195665e-01,-6.194772118427908404e-03
5.319111254226371877e-01,-6.055907592165840798e-03
5.337514087908549199e-01,-5.852319490278356899e-03
5.355916921590726520e-01,-5.599916844802772797e-03
5.374319755272902732e-01,-5.295198636644220073e-03
5.392722588955078944e-01,-4.937966800054476024e-03
5.411125422637256266e-01,-4.524645080409201749e-03
5.429528256319433588e-01,-4.064879378794109335e-03
5.447931090001609800e-01,-3.606751325240842992e-03
5.466333923683786011e-01,-3.153084440316102164e-03
5.484736757365963333e-01,-2.700403438103460285e-03
5.503139591048140655e-01,-2.247628784550762676e-03
5.521542424730316867e-01,-1.794498754971591810e-03
5.539945258412493079e-01,-1.309025166072480539e-03
5.558348092094670401e-01,-7.828524884644632188e-04
5.576750925776847723e-01,-2.544468614310689699e-04
5.595153759459023934e-01,2.886253437159741757e-04
5.613556593141200146e-01,8.673818608288710440e-04
5.631959426823377468e-01,1.479006108244227758e-03
5.650362260505554790e-01,2.124506884007035072e-03
5.668765094187731002e-01,2.787739104329573208e-03
5.687167927869907214e-01,3.452570262637055191e-03
5.705570761552085646e-01,4.135467115516413585e-03
5.723973595234261857e-01,4.813361035044822454e-03
5.742376428916438069e-01,5.468157693573847192e-03
5.760779262598614281e-01,6.092549772054410041e-03
5.779182096280792713e-01,6.663384425404996446e-03
5.797584929962968925e-01,7.112969324191216643e-03
5.815987763645145137e-01,7.419357358152725047e-03
5.834390597327321348e-01,7.595749510820303321e-03
5.852793431009499781e-01,7.646093137007614962e-03
5.871196264691675992e-01,7.570748452416170907e-03
5.889599098373852204e-01,7.385407874021123788e-03
5.908001932056028416e-01,7.077499821276297953e-03
5.926404765738206848e-01,6.657699882388373736e-03
5.944807599420383060e-01,6.157133343654778643e-03
5.963210433102559271e-01,5.574587701897346440e-03
5.981613266784735483e-01,4.933381426540320129e-03
6.000016100466913915e-01,4.255878913361084079e-03
6.018418934149090127e-01,3.560476551067810660e-03
6.036821767831266339e-01,2.879301665186829572e-03
6.055224601513442551e-01,2.262444938413668127e-03
6.073627435195620983e-01,1.734145971804756329e-03
6.092030268877797194e-01,1.312332222031462265e-03
6.110433102559973406e-01,9.948494147383911065e-04
6.128835936242151838e-01,7.572184453064355380e-04
6.147238769924328050e-01,5.695663712072771305e-04
6.165641603606504262e-01,4.538717784234903851e-04
6.184044437288680474e-01,4.071802482608575515e-04
6.202447270970858906e-01,4.024228829740007091e-04
6.220850104653035118e-01,4.464544308655235896e-04
6.239252938335211329e-01,5.201716920420451336e-04
6.257655772017387541e-01,6.187281508517386824e-04
6.276058605699565973e-01,7.236007233110420536e-04
6.294461439381742185e-01,8.087129169225213679e-04
6.312864273063918397e-01,8.663757591985477360e-04
6.331267106746094608e-01,8.998087358259999457e-04
6.349669940428273041e-01,8.789846949510206385e-04
6.368072774110449252e-01,7.734080343805910989e-04
6.386475607792625464e-01,6.143510338299877074e-04
6.404878441474801676e-01,4.499294262060527720e-04
6.423281275156980108e-01,2.844503512442536283e-04
6.441684108839156320e-01,1.328404353019235849e-04
6.460086942521332531e-01,2.266038330338881863e-05
6.478489776203508743e-01,-5.682159782703479417e-05
6.496892609885687175e-01,-1.065789962368123191e-04
6.515295443567863387e-01,-1.390957188569031170e-04
6.533698277250039599e-01,-1.419780840763206820e-04
6.552101110932215811e-01,-8.777649028186703349e-05
6.570503944614394243e-01,3.081423610891106165e-05
6.588906778296570455e-01,1.754512784526687439e-04
6.607309611978746666e-01,3.374194746463151881e-04
6.625712445660922878e-01,5.356582414063684738e-04
6.644115279343101310e-01,7.243087065713280353e-04
6.662518113025277522e-01,8.491684875882485025e-04
6.680920946707453734e-01,8.942678205814039551e-04
6.699323780389629945e-01,8.494541144476525562e-04
6.717726614071808378e-01,7.016402087453038226e-04
6.736129447753984589e-01,4.693374645740722010e-04
6.754532281436160801e-01,1.873870903800834223e-04
6.772935115118339233e-01,-1.224026649684764395e-04
6.791337948800515445e-01,-4.608431411653227637e-04
6.809740782482691657e-01,-8.440520417358406699e-04
6.828143616164867868e-01,-1.287470053919996266e-03
6.846546449847046301e-01,-1.750969732910139919e-03
6.864949283529222512e-01,-2.172780664313749433e-03
6.883352117211398724e-01,-2.518086967218940465e-03
6.901754950893574936e-01,-2.747392591175293591e-03
6.920157784575753368e-01,-2.831018387120844745e-03
6.938560618257929580e-01,-2.772537122706559588e-03
6.956963451940105791e-01,-2.595395652331345532e-03
6.975366285622282003e-01,-2.322605306617527531e-03
6.993769119304460435e-01,-1.976693491201345944e-03
7.012171952986636647e-01,-1.582823176868345836e-03
7.030574786668812859e-01,-1.153635431606112689e-03
7.048977620350989071e-01,-7.126818726322485271e-04
7.067380454033167503e-01,-2.716213165766318731e-04
7.085783287715343715e-01,1.855005012717014031e-04
7.104186121397519926e-01,6.356498277337979111e-04
7.122588955079696138e-01,1.021997560441869962e-03
7.140991788761874570e-01,1.303975114129157916e-03
7.159394622444050782e-01,1.483493593764925473e-03
7.177797456126226994e-01,1.565415009585286246e-03
7.196200289808403205e-01,1.560369901131769934e-03
7.214603123490581638e-01,1.488113770569462081e-03
7.233005957172757849e-01,1.371306812116280995e-03
7.251408790854934061e-01,1.231912033049396057e-03
7.269811624537110273e-01,1.050520576153459893e-03
7.288214458219288705e-01,8.094190088422754600e-04
7.306617291901464917e-01,5.475101979952962323e-04
7.325020125583641128e-01,2.760376595293237054e-04
7.343422959265817340e-01,-2.963565360857393441e-05
7.361825792947995772e-01,-3.516115876604550662e-04
7.380228626630171984e-01,-6.744711865796079384e-04
7.398631460312348196e-01,-9.907143213605852389e-04
7.417034293994524408e-01,-1.305506202971137408e-03
7.435437127676702840e-01,-1.629416852131543563e-03
