# B (T), \delta v/v
2.770399999999999974e+00,-3.683208000175301929e-04
2.787399999999999878e+00,-3.711526024424159674e-04
2.804499999999999993e+00,-3.751198057733449499e-04
2.821600000000000108e+00,-3.812380931296220675e-04
2.838600000000000012e+00,-3.872468631536859487e-04
2.855599999999999916e+00,-3.913609334292499032e-04
2.872599999999999820e+00,-3.946234342981740084e-04
2.890000000000000124e+00,-3.986387757892229967e-04
2.907099999999999795e+00,-4.014605837278084621e-04
2.924100000000000144e+00,-4.079508118802491960e-04
2.941100000000000048e+00,-4.150674804707348963e-04
2.958299999999999930e+00,-4.166326789858506218e-04
2.975299999999999834e+00,-4.216892492009080584e-04
2.992399999999999949e+00,-4.281679704553585653e-04
3.009500000000000064e+00,-4.334361643151742483e-04
3.026499999999999968e+00,-4.381364748177911991e-04
3.043499999999999872e+00,-4.415829009186497288e-04
3.060599999999999987e+00,-4.461969893742960265e-04
3.077999999999999847e+00,-4.532852430907048950e-04
3.095000000000000195e+00,-4.570547926005479977e-04
3.112000000000000099e+00,-4.620913755826462329e-04
3.129000000000000004e+00,-4.681364020170175676e-04
3.146100000000000119e+00,-4.710133576029092509e-04
3.163300000000000001e+00,-4.773107449320612358e-04
3.180299999999999905e+00,-4.824883033243768929e-04
3.197400000000000020e+00,-4.861569553945414325e-04
3.214599999999999902e+00,-4.926919957315926274e-04
3.231599999999999806e+00,-4.969666101477656977e-04
3.248699999999999921e+00,-5.037364373368538682e-04
3.265699999999999825e+00,-5.075686690068125298e-04
3.282799999999999940e+00,-5.136761985563388167e-04
3.299999999999999822e+00,-5.189613133281214446e-04
3.317000000000000171e+00,-5.228785614355842791e-04
3.334099999999999842e+00,-5.287859419127639718e-04
3.351599999999999913e+00,-5.339002334750868328e-04
3.368700000000000028e+00,-5.395359906422273789e-04
3.385699999999999932e+00,-5.450617589489019929e-04
3.402600000000000069e+00,-5.480571916870594692e-04
3.419999999999999929e+00,-5.558021372915950735e-04
3.436999999999999833e+00,-5.618399614985477306e-04
3.454099999999999948e+00,-5.674544948648734769e-04
3.471200000000000063e+00,-5.709739361241721132e-04
3.488199999999999967e+00,-5.775251204363050913e-04
3.505300000000000082e+00,-5.858343051147172666e-04
3.522400000000000198e+00,-5.876004057066025075e-04
3.539499999999999869e+00,-5.947098585596294383e-04
3.556599999999999984e+00,-5.995186898874761954e-04
3.573700000000000099e+00,-6.057154199633952739e-04
3.590800000000000214e+00,-6.122355553397518680e-04
3.608400000000000052e+00,-6.185371225442472688e-04
3.625399999999999956e+00,-6.244561468577716160e-04
3.642500000000000071e+00,-6.291489476560118777e-04
3.660000000000000142e+00,-6.338524959877556023e-04
3.677099999999999813e+00,-6.401841716792177391e-04
3.694199999999999928e+00,-6.453056132553067680e-04
3.711599999999999788e+00,-6.510718902787934227e-04
3.728699999999999903e+00,-6.575617278144415016e-04
3.745800000000000018e+00,-6.649469743256295352e-04
3.762799999999999923e+00,-6.711805994832218064e-04
3.779999999999999805e+00,-6.726859444285802772e-04
3.797099999999999920e+00,-6.831499410437094025e-04
3.814099999999999824e+00,-6.894655831518792157e-04
3.831199999999999939e+00,-6.947386286930758723e-04
3.848399999999999821e+00,-6.995134969123179567e-04
3.865499999999999936e+00,-7.079504651747793890e-04
3.882600000000000051e+00,-7.134196130700634327e-04
3.899999999999999911e+00,-7.191113998001003949e-04
3.917100000000000026e+00,-7.253739648225273956e-04
3.934200000000000141e+00,-7.307267470458726549e-04
3.951200000000000045e+00,-7.383539978400155543e-04
3.968300000000000161e+00,-7.435094632819188492e-04
3.985399999999999832e+00,-7.490026945737337290e-04
4.002399999999999736e+00,-7.585879738215804691e-04
4.019499999999999851e+00,-7.641276404737437807e-04
4.036699999999999733e+00,-7.690916911508653394e-04
4.053700000000000081e+00,-7.774019246205078094e-04
4.070899999999999963e+00,-7.818794312707067276e-04
4.088300000000000267e+00,-7.890677473584630517e-04
4.105299999999999727e+00,-7.968941782796134339e-04
4.122399999999999842e+00,-8.028668154336199942e-04
4.139400000000000190e+00,-8.097759502217229122e-04
4.156699999999999839e+00,-8.155123096195307595e-04
4.173700000000000188e+00,-8.213191356875337336e-04
4.190800000000000303e+00,-8.298103155291349908e-04
4.207799999999999763e+00,-8.361304351563207324e-04
4.224999999999999645e+00,-8.444935152523280883e-04
4.242099999999999760e+00,-8.494215410302446371e-04
4.259100000000000108e+00,-8.587091692031862192e-04
4.276200000000000223e+00,-8.633214001424925014e-04
4.293300000000000338e+00,-8.727884284397073155e-04
4.310399999999999565e+00,-8.769440773965301011e-04
4.327399999999999913e+00,-8.829505282076676766e-04
4.344500000000000028e+00,-8.888430425987182276e-04
4.361799999999999677e+00,-8.990461486198371649e-04
4.378800000000000026e+00,-9.063522895454106769e-04
4.395900000000000141e+00,-9.122048972226593508e-04
4.413299999999999557e+00,-9.208618721578109559e-04
4.430399999999999672e+00,-9.266228838426364411e-04
4.447499999999999787e+00,-9.346484046395179103e-04
4.464599999999999902e+00,-9.425754252425730005e-04
4.481700000000000017e+00,-9.492431392225163331e-04
4.498700000000000365e+00,-9.555073699999485108e-04
4.515900000000000247e+00,-9.640231138638827822e-04
4.533299999999999663e+00,-9.698220627140986295e-04
4.550399999999999778e+00,-9.777733265862622973e-04
4.567400000000000126e+00,-9.846523892627354665e-04
4.584399999999999586e+00,-9.922262900003725895e-04
4.601700000000000124e+00,-1.002029572862351940e-03
4.618800000000000239e+00,-1.006160839090919227e-03
4.635900000000000354e+00,-1.014978188050576777e-03
4.653400000000000425e+00,-1.024645459419386458e-03
4.670399999999999885e+00,-1.030533904491265232e-03
4.687599999999999767e+00,-1.040140424617793345e-03
4.705000000000000071e+00,-1.044993925949694660e-03
4.722000000000000419e+00,-1.053753976469924821e-03
4.739099999999999646e+00,-1.061479030285962261e-03
4.756099999999999994e+00,-1.068890131412288461e-03
4.773399999999999643e+00,-1.075076697755778183e-03
4.790600000000000414e+00,-1.085559428636823131e-03
4.807599999999999874e+00,-1.093077286065144470e-03
4.825000000000000178e+00,-1.100343197682813415e-03
4.842200000000000060e+00,-1.107651520579741502e-03
4.859200000000000408e+00,-1.118331310890682741e-03
4.876599999999999824e+00,-1.124472387162791468e-03
4.893600000000000172e+00,-1.132977682267054123e-03
4.910800000000000054e+00,-1.140489589121170422e-03
4.927900000000000169e+00,-1.149349342771964055e-03
4.945100000000000051e+00,-1.158611639755572232e-03
4.962299999999999933e+00,-1.163892036454610953e-03
4.979300000000000281e+00,-1.174405656036031816e-03
4.996699999999999697e+00,-1.182346449803130424e-03
5.013799999999999812e+00,-1.190596286886264022e-03
5.030899999999999928e+00,-1.200054644607127102e-03
5.048399999999999999e+00,-1.205349082986382180e-03
5.065400000000000347e+00,-1.216590644316654316e-03
5.082499999999999574e+00,-1.224998307336103761e-03
5.099499999999999922e+00,-1.233148147739527960e-03
5.116699999999999804e+00,-1.241898567652157661e-03
5.133799999999999919e+00,-1.250644603715418777e-03
5.150800000000000267e+00,-1.257836145115376336e-03
5.167900000000000382e+00,-1.268024738565669100e-03
5.185100000000000264e+00,-1.276176541184952280e-03
5.202099999999999724e+00,-1.285615852577925078e-03
5.219100000000000072e+00,-1.292755059813079435e-03
5.236299999999999955e+00,-1.304160231853118907e-03
5.253400000000000070e+00,-1.311405480669130662e-03
5.270400000000000418e+00,-1.320104459373395338e-03
5.287499999999999645e+00,-1.329549359756735218e-03
5.304599999999999760e+00,-1.339588900564587376e-03
5.321799999999999642e+00,-1.347732226991710074e-03
5.338799999999999990e+00,-1.356863780013892922e-03
5.355800000000000338e+00,-1.363196647629293188e-03
5.372799999999999798e+00,-1.374470612694000818e-03
5.390100000000000335e+00,-1.381437189552637591e-03
5.407099999999999795e+00,-1.393266755360028425e-03
5.424199999999999910e+00,-1.401533162584328758e-03
5.441399999999999793e+00,-1.411711678138776209e-03
5.458499999999999908e+00,-1.420296319830293905e-03
5.475500000000000256e+00,-1.428751548547289429e-03
5.492600000000000371e+00,-1.438806247274964983e-03
5.510799999999999699e+00,-1.449562936141418450e-03
5.527700000000000280e+00,-1.457138261150976461e-03
5.545099999999999696e+00,-1.470157728265995400e-03
5.562100000000000044e+00,-1.478948373963798841e-03
5.579200000000000159e+00,-1.488764690590987884e-03
5.596300000000000274e+00,-1.496277956583635287e-03
5.613299999999999734e+00,-1.505172491499918389e-03
