# B (T), A_asym/A_sym
1.063328956007879134e+00,-3.484386724080443948e-02
1.070354563361785694e+00,-5.316150143474857037e-02
1.077380170715692476e+00,-6.141144363548042134e-02
1.084405778069599258e+00,-6.468559990132718984e-02
1.091431385423506040e+00,-6.419809741635619516e-02
1.098456992777412822e+00,-6.852636424177178942e-02
1.105482600131319604e+00,-7.419710242777488585e-02
1.112508207485226386e+00,-8.461712297245747860e-02
1.119533814839133168e+00,-8.427574506774965224e-02
1.126559422193039950e+00,-8.115791774303252049e-02
1.133585029546946732e+00,-7.549073752770625589e-02
1.140610636900853514e+00,-7.285709769894890830e-02
1.147636244254760296e+00,-8.044174745197510412e-02
1.154661851608667078e+00,-9.006358650096657481e-02
1.161687458962573860e+00,-8.984887150571350956e-02
1.168713066316480642e+00,-8.737664774703335357e-02
1.175738673670387424e+00,-8.303345479826466924e-02
1.182764281024294206e+00,-7.925641759365147088e-02
1.189789888378200988e+00,-7.768686616880614293e-02
1.196815495732107770e+00,-7.470267148117781808e-02
1.203841103086014552e+00,-6.780869528965975668e-02
1.210866710439920890e+00,-5.970248457489444466e-02
1.217892317793827672e+00,-5.565887148268448825e-02
1.224917925147734454e+00,-5.318666302142673746e-02
1.231943532501641236e+00,-6.413917918453918010e-02
1.238969139855548018e+00,-6.788868928956010018e-02
1.245994747209454800e+00,-7.255417116173318304e-02
1.253020354563361582e+00,-6.888865316172877729e-02
1.260045961917268365e+00,-6.711418034624044848e-02
1.267071569271175147e+00,-6.807953273164982222e-02
1.274097176625081929e+00,-6.225230051522409602e-02
1.281122783978988711e+00,-5.296038652673289160e-02
1.288148391332895493e+00,-3.688556300007442279e-02
1.295173998686802275e+00,-3.044305198797694900e-02
1.302199606040709057e+00,-2.361089017674822266e-02
1.309225213394615839e+00,-1.530936677523173951e-02
1.316250820748522621e+00,-1.782095366846563403e-02
1.323276428102429403e+00,-2.201478879586625179e-02
1.330302035456336185e+00,-2.272802158343948525e-02
1.337327642810242967e+00,-1.654620611439472019e-02
1.344353250164149749e+00,-1.788552966052622123e-02
1.351378857518056531e+00,-1.368623922281403740e-02
