# B (T), A_asym/A_sym
9.890922330097087212e+00,9.253403536574175692e-02
9.946407766990292387e+00,1.141912662234098458e-01
1.000189320388349579e+01,1.204058027126852504e-01
1.005737864077669919e+01,1.087136740333297102e-01
1.011286407766990258e+01,9.933931864999495653e-02
1.016834951456310776e+01,1.198498108845697935e-01
1.022383495145631116e+01,1.247955544117640286e-01
1.027932038834951456e+01,1.194504885469861583e-01
1.033480582524271973e+01,1.317504990784045815e-01
1.039029126213592313e+01,1.285727023677696590e-01
1.044577669902912653e+01,1.207855311106369456e-01
1.050126213592232993e+01,1.360216183339723328e-01
1.055674757281553511e+01,1.275842553465246776e-01
1.061223300970873851e+01,1.464412936163719259e-01
1.066771844660194191e+01,1.577527901947373690e-01
1.072320388349514531e+01,1.629613128245737397e-01
1.077868932038835048e+01,1.239642790441131542e-01
1.083417475728155388e+01,1.386927681639265053e-01
1.088966019417475728e+01,1.578062667834821409e-01
1.094514563106796246e+01,1.538697838215769553e-01
1.100063106796116585e+01,1.614357118441059058e-01
1.105611650485436925e+01,1.642886740307176185e-01
1.111160194174757265e+01,1.563038685275479345e-01
1.116708737864077783e+01,1.493324339186229976e-01
1.122257281553398123e+01,1.748192502663509229e-01
1.127805825242718463e+01,1.606640372948550111e-01
1.133354368932038980e+01,1.679158483672362756e-01
1.138902912621359320e+01,1.640754306909772975e-01
1.144451456310679660e+01,1.654912853905940451e-01
1.150000000000000000e+01,1.646254662665865565e-01
