# B (T), A_asym/A(0)
3.497230719690870848e-01,-3.010596474907343742e-04
3.515633553373047615e-01,-1.670646359403248939e-04
3.534036387055224382e-01,-1.869111329315897266e-04
3.552439220737401149e-01,-3.549264758643556612e-04
3.570842054419577916e-01,-6.512920327081206471e-04
3.589244888101754682e-01,-1.047500736884531295e-03
3.607647721783931449e-01,-1.546218892309567192e-03
3.626050555466108216e-01,-2.132103478192106348e-03
3.644453389148284983e-01,-2.774164186783204759e-03
3.662856222830461750e-01,-3.458336151367098765e-03
3.681259056512638517e-01,-4.211162930682598761e-03
3.699661890194815284e-01,-4.990906096997568646e-03
3.718064723876992050e-01,-5.746592828748909795e-03
3.736467557559169372e-01,-6.454186217730238997e-03
3.754870391241346139e-01,-7.098907736949962646e-03
3.773273224923522906e-01,-7.681207710397690118e-03
3.791676058605699673e-01,-8.182963080182561674e-03
3.810078892287876440e-01,-8.608701478878265020e-03
3.828481725970053207e-01,-8.978504635628343361e-03
3.846884559652229973e-01,-9.308507948086630623e-03
3.865287393334406740e-01,-9.560509922164509705e-03
3.883690227016583507e-01,-9.687358780717013687e-03
3.902093060698760274e-01,-9.710110995498181380e-03
3.920495894380937041e-01,-9.614441452519786879e-03
3.938898728063113808e-01,-9.375231326402303986e-03
3.957301561745290575e-01,-9.008496176267536543e-03
3.975704395427467341e-01,-8.537134337440023882e-03
3.994107229109644108e-01,-7.988071125532120523e-03
4.012510062791820875e-01,-7.369168115178644125e-03
4.030912896473997642e-01,-6.674224658016800205e-03
4.049315730156174409e-01,-5.908051100871335691e-03
4.067718563838351176e-01,-5.107316479528355158e-03
4.086121397520527943e-01,-4.293255984319217441e-03
4.104524231202704709e-01,-3.479978974258482374e-03
4.122927064884881476e-01,-2.736266686033931705e-03
4.141329898567058243e-01,-2.126987709159298013e-03
4.159732732249235010e-01,-1.644179687808881418e-03
4.178135565931411777e-01,-1.300385234444863519e-03
4.196538399613588544e-01,-1.099887263723698608e-03
4.214941233295765310e-01,-1.043244766820998004e-03
4.233344066977942077e-01,-1.136421358223324574e-03
4.251746900660118844e-01,-1.388872309272889396e-03
4.270149734342295611e-01,-1.780517695170171768e-03
4.288552568024472378e-01,-2.283585656491630457e-03
4.306955401706649145e-01,-2.898022020543701820e-03
4.325358235388825912e-01,-3.578210452308937771e-03
4.343761069071002678e-01,-4.279045514242471072e-03
4.362163902753179445e-01,-4.986676034358767350e-03
4.380566736435356212e-01,-5.648284147828143767e-03
4.398969570117532979e-01,-6.232219687030892893e-03
4.417372403799710301e-01,-6.727936701504994184e-03
4.435775237481887068e-01,-7.127608732348305817e-03
4.454178071164063835e-01,-7.420039455311819299e-03
4.472580904846240601e-01,-7.605936536204594388e-03
4.490983738528417368e-01,-7.690397251752400035e-03
4.509386572210594135e-01,-7.635285170224251697e-03
4.527789405892770902e-01,-7.479403890086226865e-03
4.546192239574947669e-01,-7.265470277960249003e-03
4.564595073257124436e-01,-6.981864644993385043e-03
4.582997906939301203e-01,-6.631753734938401583e-03
4.601400740621477969e-01,-6.240825972307919266e-03
4.619803574303654736e-01,-5.798346112637915717e-03
4.638206407985831503e-01,-5.315146043662258464e-03
4.656609241668008270e-01,-4.806509795758007707e-03
4.675012075350185037e-01,-4.292206489203664356e-03
4.693414909032361804e-01,-3.789008356020386308e-03
4.711817742714538571e-01,-3.316907941235622877e-03
4.730220576396715337e-01,-2.859635854048644434e-03
4.748623410078892104e-01,-2.406056643889572903e-03
4.767026243761068871e-01,-1.975012603351606038e-03
4.785429077443245638e-01,-1.543032587226310284e-03
4.803831911125422405e-01,-1.095075460473772218e-03
4.822234744807599172e-01,-6.650678953403169492e-04
4.840637578489775938e-01,-2.782862231473153891e-04
4.859040412171952705e-01,6.581617033495265319e-05
4.877443245854129472e-01,3.654025907437957006e-04
4.895846079536306239e-01,6.286698867681521754e-04
4.914248913218483006e-01,8.806539199357196280e-04
4.932651746900659773e-01,1.119500948870695177e-03
4.951054580582836540e-01,1.333558429400894712e-03
4.969457414265013306e-01,1.515028172054574008e-03
4.987860247947190073e-01,1.636041011847405623e-03
5.006263081629367395e-01,1.694547174800461889e-03
5.024665915311543607e-01,1.689355882794061183e-03
5.043068748993719819e-01,1.631696113624863395e-03
5.061471582675897141e-01,1.528960466919119469e-03
5.079874416358074463e-01,1.399693922657250763e-03
5.098277250040250674e-01,1.252533219567025053e-03
5.116680083722427996e-01,1.083151284361222365e-03
5.135082917404605318e-01,8.962697576941183785e-04
5.153485751086781530e-01,6.947807481792767645e-04
5.171888584768957742e-01,4.536989625195430101e-04
5.190291418451135064e-01,1.793402622133008506e-04
5.208694252133312386e-01,-8.525102125072820162e-05
5.227097085815488597e-01,-3.082231333712491506e-04
5.245499919497664809e-01,-4.820890487602651382e-04
5.263902753179842131e-01,-6.211457735455242152e-04
5.282305586862019453e-01,-7.282367340343933251e-04
5.300708420544195665e-01,-8.153290277994844478e-04
5.319111254226371877e-01,-8.971561664723416360e-04
5.337514087908549199e-01,-9.810564466582168217e-04
5.355916921590726520e-01,-1.081987069840423341e-03
5.374319755272902732e-01,-1.178003215457162911e-03
5.392722588955078944e-01,-1.290992648312370723e-03
5.411125422637256266e-01,-1.478475241635540931e-03
5.429528256319433588e-01,-1.738662343551502761e-03
5.447931090001609800e-01,-2.048258132356271192e-03
5.466333923683786011e-01,-2.426141797055379312e-03
5.484736757365963333e-01,-2.897831850642962771e-03
5.503139591048140655e-01,-3.470907864635611444e-03
5.521542424730316867e-01,-4.124422721241634976e-03
5.539945258412493079e-01,-4.861386760047907950e-03
5.558348092094670401e-01,-5.665937293167245918e-03
5.576750925776847723e-01,-6.516162119958155211e-03
5.595153759459023934e-01,-7.378536241796338803e-03
5.613556593141200146e-01,-8.199137718014780016e-03
5.631959426823377468e-01,-8.986723926064366097e-03
5.650362260505554790e-01,-9.714563616607998012e-03
5.668765094187731002e-01,-1.031728553556513113e-02
5.687167927869907214e-01,-1.077497526196827086e-02
5.705570761552085646e-01,-1.109991932372323721e-02
5.723973595234261857e-01,-1.128769720214169332e-02
5.742376428916438069e-01,-1.133254259251873300e-02
5.760779262598614281e-01,-1.122546124390796408e-02
5.779182096280792713e-01,-1.098021355382024743e-02
5.797584929962968925e-01,-1.059259252010008936e-02
5.815987763645145137e-01,-1.008793515020757654e-02
5.834390597327321348e-01,-9.482954635652690242e-03
