# B (T), A/A(0)
4.546192239574947669e-01,9.974098339696905180e-01
4.564595073257124436e-01,9.963010145959518837e-01
4.582997906939301203e-01,9.956741590288701316e-01
4.601400740621477969e-01,9.953136463015823665e-01
4.619803574303654736e-01,9.951310884453741235e-01
4.638206407985831503e-01,9.953700905686615474e-01
4.656609241668008270e-01,9.960668192673874932e-01
4.675012075350185037e-01,9.971288822155968123e-01
4.693414909032361804e-01,9.989968475219545008e-01
4.711817742714538571e-01,1.001593697575740238e+00
4.730220576396715337e-01,1.004104065661991285e+00
4.748623410078892104e-01,1.006427426939466852e+00
4.767026243761068871e-01,1.009313209861015803e+00
4.785429077443245638e-01,1.012234708511626113e+00
4.803831911125422405e-01,1.015362073514616714e+00
4.822234744807599172e-01,1.018290835801651140e+00
4.840637578489775938e-01,1.020828543157268342e+00
4.859040412171952705e-01,1.023338797485556784e+00
4.877443245854129472e-01,1.025508178003233350e+00
4.895846079536306239e-01,1.027216403372512854e+00
4.914248913218483006e-01,1.028884612255676956e+00
4.932651746900659773e-01,1.030589306843524566e+00
4.951054580582836540e-01,1.031695761329391114e+00
4.969457414265013306e-01,1.031849267352722865e+00
4.987860247947190073e-01,1.031930727033870010e+00
5.006263081629367395e-01,1.031885842125052077e+00
5.024665915311543607e-01,1.031598972529803815e+00
5.043068748993719819e-01,1.031454153557158859e+00
5.061471582675897141e-01,1.030830807543890115e+00
5.079874416358074463e-01,1.030070213575983384e+00
5.098277250040250674e-01,1.029015728319938816e+00
5.116680083722427996e-01,1.027849133219021827e+00
5.135082917404605318e-01,1.026650346230124411e+00
5.153485751086781530e-01,1.025490033140805446e+00
5.171888584768957742e-01,1.023885531993492526e+00
5.190291418451135064e-01,1.021944936308091023e+00
5.208694252133312386e-01,1.020844959296115517e+00
5.227097085815488597e-01,1.019993510261764991e+00
5.245499919497664809e-01,1.019109072531029225e+00
5.263902753179842131e-01,1.018779676787354704e+00
5.282305586862019453e-01,1.018572635501021173e+00
5.300708420544195665e-01,1.017802819518105029e+00
5.319111254226371877e-01,1.016724097010637484e+00
5.337514087908549199e-01,1.015814612174206211e+00
5.355916921590726520e-01,1.015429400622887224e+00
5.374319755272902732e-01,1.015247404380745344e+00
5.392722588955078944e-01,1.014580068335102059e+00
5.411125422637256266e-01,1.013389461726085683e+00
5.429528256319433588e-01,1.012776901748392078e+00
5.447931090001609800e-01,1.012804797690763481e+00
5.466333923683786011e-01,1.012109649857082738e+00
5.484736757365963333e-01,1.011726679944579432e+00
5.503139591048140655e-01,1.011743445660597596e+00
5.521542424730316867e-01,1.011718617015666011e+00
5.539945258412493079e-01,1.011340036452031743e+00
5.558348092094670401e-01,1.011407765941186865e+00
5.576750925776847723e-01,1.012173234957324253e+00
5.595153759459023934e-01,1.013313404047375466e+00
5.613556593141200146e-01,1.013959981674423139e+00
5.631959426823377468e-01,1.014482157272761143e+00
5.650362260505554790e-01,1.015415940020226948e+00
5.668765094187731002e-01,1.016886882273353221e+00
5.687167927869907214e-01,1.018324664644234545e+00
5.705570761552085646e-01,1.019011916192947620e+00
5.723973595234261857e-01,1.019612213500760589e+00
5.742376428916438069e-01,1.020250409886382048e+00
5.760779262598614281e-01,1.020455281591960306e+00
5.779182096280792713e-01,1.020249245654601067e+00
5.797584929962968925e-01,1.020571435570735153e+00
5.815987763645145137e-01,1.020905292989297442e+00
5.834390597327321348e-01,1.020696170210548592e+00
5.852793431009499781e-01,1.019974804834168580e+00
5.871196264691675992e-01,1.019223992828153014e+00
5.889599098373852204e-01,1.018273783613327099e+00
5.908001932056028416e-01,1.017545310403129788e+00
5.926404765738206848e-01,1.016735097250743847e+00
5.944807599420383060e-01,1.015778479096666631e+00
5.963210433102559271e-01,1.015242901494074923e+00
5.981613266784735483e-01,1.015076566825153348e+00
6.000016100466913915e-01,1.014699079341138566e+00
6.018418934149090127e-01,1.014327501980160084e+00
6.036821767831266339e-01,1.014179036746664320e+00
6.055224601513442551e-01,1.013762046724105526e+00
6.073627435195620983e-01,1.012943421744423977e+00
6.092030268877797194e-01,1.012077979569349306e+00
6.110433102559973406e-01,1.011567065555784461e+00
6.128835936242151838e-01,1.011514868966320702e+00
6.147238769924328050e-01,1.011482708865251379e+00
6.165641603606504262e-01,1.011278625123912756e+00
6.184044437288680474e-01,1.010908459830377470e+00
6.202447270970858906e-01,1.010757405288315702e+00
6.220850104653035118e-01,1.010213803751145001e+00
6.239252938335211329e-01,1.009379152421044923e+00
6.257655772017387541e-01,1.008959993462865246e+00
6.276058605699565973e-01,1.009147513358198633e+00
6.294461439381742185e-01,1.009389549029360511e+00
6.312864273063918397e-01,1.009219806984358536e+00
6.331267106746094608e-01,1.009064619967295240e+00
6.349669940428273041e-01,1.009010590213245573e+00
6.368072774110449252e-01,1.008838371367275277e+00
6.386475607792625464e-01,1.008259668974040624e+00
6.404878441474801676e-01,1.007631256759168314e+00
6.423281275156980108e-01,1.007352077818612690e+00
6.441684108839156320e-01,1.007465044792393627e+00
6.460086942521332531e-01,1.007462986326108423e+00
6.478489776203508743e-01,1.008297438372873778e+00
6.496892609885687175e-01,1.009650641398547322e+00
6.515295443567863387e-01,1.010706161544866033e+00
6.533698277250039599e-01,1.011635752657318976e+00
6.552101110932215811e-01,1.012612345055632579e+00
6.570503944614394243e-01,1.014054458880877529e+00
6.588906778296570455e-01,1.015519817985876427e+00
6.607309611978746666e-01,1.017044860955692354e+00
6.625712445660922878e-01,1.018713008614430704e+00
6.644115279343101310e-01,1.020493183038218898e+00
6.662518113025277522e-01,1.021901672455168386e+00
6.680920946707453734e-01,1.022541092479736458e+00
6.699323780389629945e-01,1.022969493367072769e+00
6.717726614071808378e-01,1.023470015434817526e+00
6.736129447753984589e-01,1.023293359522074342e+00
6.754532281436160801e-01,1.022621017064694104e+00
6.772935115118339233e-01,1.022068922843589966e+00
6.791337948800515445e-01,1.021594300946464307e+00
6.809740782482691657e-01,1.021098064773090508e+00
6.828143616164867868e-01,1.020395667491567293e+00
6.846546449847046301e-01,1.019983701809382470e+00
