# T (K), alpha_33 (Neper/m)
3.373999999999999777e-01,3.076228372116702303e+00
3.376000000000000112e-01,3.032525201045928043e+00
3.377999999999999892e-01,2.838745807627901740e+00
3.382000000000000006e-01,2.888434989824645527e+00
3.385000000000000231e-01,2.932778595618174222e+00
3.387000000000000011e-01,2.849483498613835764e+00
3.388999999999999790e-01,3.087215639487567387e+00
3.392999999999999905e-01,3.416196866267910082e+00
3.395000000000000240e-01,3.245816440565704397e+00
3.397000000000000020e-01,3.121484315862971926e+00
3.400000000000000244e-01,3.258827805427927160e+00
3.403999999999999804e-01,3.111786187046391206e+00
3.406000000000000139e-01,2.852204367909280336e+00
3.408999999999999808e-01,2.605420263036648976e+00
3.411000000000000143e-01,2.639140742376639537e+00
3.415000000000000258e-01,2.865955665616411352e+00
3.417999999999999927e-01,3.069679496073831615e+00
3.420000000000000262e-01,2.637317721419549343e+00
3.422000000000000042e-01,2.349893961017642141e+00
3.426000000000000156e-01,2.437797217531624483e+00
3.428999999999999826e-01,2.553219762446587993e+00
3.431000000000000161e-01,2.665032489129544047e+00
3.432999999999999940e-01,2.659085277439771744e+00
3.437999999999999945e-01,2.785913187770347577e+00
3.439999999999999725e-01,2.615760076390188260e+00
3.442000000000000060e-01,2.622437994419215102e+00
3.444999999999999729e-01,2.682334035755729928e+00
3.448999999999999844e-01,2.919841130624718062e+00
3.452000000000000068e-01,3.214234340917073496e+00
3.453999999999999848e-01,3.276486395001029450e+00
3.457000000000000073e-01,3.185467570048786001e+00
3.462000000000000077e-01,3.224536536675486786e+00
3.463999999999999857e-01,2.933412473816133570e+00
3.467000000000000082e-01,2.940719597341512781e+00
3.468999999999999861e-01,2.963111196015688620e+00
3.473999999999999866e-01,3.163347850325180843e+00
3.476000000000000201e-01,3.322770629003343856e+00
3.478999999999999870e-01,3.559109071685952586e+00
3.481000000000000205e-01,3.813065221190527154e+00
3.483999999999999875e-01,3.924454457587216893e+00
3.488999999999999879e-01,3.376115710029580441e+00
3.491000000000000214e-01,3.358465764075162951e+00
3.493999999999999884e-01,3.670758766589869992e+00
3.496000000000000218e-01,4.012452248793124454e+00
3.501000000000000223e-01,3.984581428356023025e+00
